"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18"
"1" 5.49 4.5 1.57 4.54 3.46 4.67 4.4 7.5 6.1 7.29 3.29 6.12 9.73 2.7 1.1 4.37 2.62 6.38
"2" 3.22 5.8 5.86 2.18 4.67 6.15 5.83 8.16 6.02 5.26 5.36 2.52 2.8 3.37 2.97 7.62 6.56 7.44
"3" 8.08 6.77 5.74 2.48 2.6 1.81 2.45 3.4 4.7 5.2 5.13 3.04 2.5 4.84 7.56 6.86 4.83 3.79
"4" 5.73 6.2 2.8 5.27 6.3 2.47 3.93 5.34 2.96 7.02 4.75 5.46 8.9 4.27 5.26 4.77 7.25 4.89
"5" 4.22 4.6 2.99 4.18 3.87 3.51 3.82 4.72 3.65 6.24 6.5 9.46 2.38 6.33 5.84 5.9 3.92 4.91
"6" 4.24 7.73 6.84 4.38 2.29 4.39 6.46 5.25 4.45 3.29 2.54 6.65 5.38 2.86 3.45 7.24 5.22 5.57
"7" 2.09 4.76 3.16 5.49 5.63 9.28 6.99 10.72 8.7 2.75 5.43 3.28 3.72 11.31 5.47 7.69 5.48 5.98
"8" 3.81 6.75 4.43 8.45 3.48 5.79 10.65 5.37 4.82 2.93 4.59 4.53 5.06 4.16 5.7 5.28 7.66 3.5
"9" 7.8 5.14 5.88 1.28 4.32 7.54 6.13 7.87 4.52 6.85 4.85 6.18 4.5 4.39 6.12 4.55 2.58 7.1
"10" 3.37 6.78 5.71 3.98 4.54 4.14 7.51 6.23 0.87 3.24 5.02 3.65 5.95 3.53 4.14 6.54 2.99 6.43
"11" 4.53 4.43 4.19 3.93 3.95 1.75 1.64 5.67 1.75 8.89 9.24 4.83 5.42 1.94 5.29 5.14 2.84 2.32
"12" 5.91 4.66 5.4 3.27 5.64 4.17 7.81 3.94 5 4.09 5.74 6.67 7.57 6.34 7.3 4.9 4.69 6.12
"13" 3.93 6.66 2.35 3.55 3.71 0.28 6.96 5.11 5.12 4.77 5.3 5.96 4.18 10.88 4.45 5.88 3.58 2.87
"14" 2.64 4.64 2.33 10.13 4.44 5.63 3.69 2.67 4.71 4.99 6.11 4.36 10.82 3.61 3.9 4.95 1.65 1.34
"15" 6.35 2.36 5.36 3.27 4.91 5.18 5.26 5.43 5.45 5.44 5.59 7.22 7.56 3.51 7.04 2.36 6.83 6.4
"16" 6.92 4.05 4.42 3.31 3.09 1.44 4.32 5.21 5.72 8.73 5.08 6.92 1.51 4.65 3.01 2.83 5.41 7.23
"17" 5.22 7.01 7.42 5.55 4.78 5.3 3.88 5.71 6.87 4.89 7.13 2.03 1.54 5.84 5.05 9.64 3.61 7.31
"18" 6.58 2.61 6.7 3.09 2.78 4.45 6.3 3.43 5.43 7.36 5.71 2.51 2.85 6.46 7.36 3.71 5.81 4.97
"19" 3.81 4.96 -0.42 8.38 5.32 2.97 4.57 4.74 6.41 1.32 7.3 5.22 6.67 4.39 5.73 8.75 2.47 4.2
"20" 5.72 2.58 5.83 6.74 6.03 3.39 4.61 6.25 6.22 6.69 4.73 6.73 7.79 6.63 6.19 0.53 4.79 7.63
"21" 7.67 0.66 5.11 4.68 4.03 1.18 0.54 2.99 9.07 4.66 4.96 5.29 5.95 4.67 8.79 5.02 1.62 4.84
"22" 6.07 7.57 4.96 3.34 1.13 5.81 5.46 5.43 6.11 4.37 2.78 2.83 2.82 5.8 7.02 2.36 6.39 6.95
"23" 1.14 8.32 4.65 1.35 4.52 3.64 7.32 4.52 8.69 2.12 4.99 2.92 5.97 5.93 2.34 6.45 8.02 6.8
"24" 4.25 5.93 9.11 7.12 4.99 7.81 6.87 5.22 5.74 3.55 6.37 4.11 6.81 3.66 5.36 4.92 9.22 3.41
"25" 5.49 3.97 6.21 3.76 7.82 2.37 8.22 6.55 4.93 5.73 5.12 5.22 4.89 3.66 6.2 5.29 4.89 1.39
"26" 4.01 5.82 5.91 3.64 8.74 6.85 9.42 5.69 5.34 3.79 1.12 2.91 7.44 6.51 9.52 5.93 3.58 4.07
"27" 6.7 3.83 3.64 2.53 7.05 3.51 2.67 5.2 3.97 6.31 5.64 7.73 3.88 1.64 1.42 5.71 3.24 -1.19
"28" 1.95 6.32 5.62 2.28 7.62 3.77 -0.2 6.1 4.88 8.65 7.83 5.87 6.11 4.47 4.64 6.81 2.1 7.7
"29" 3.92 4.9 5.04 4.9 5.34 4.93 5.96 5.74 5.75 2.05 2.92 3.97 4.44 1.9 6.43 6.95 4.9 4.11
"30" 4.54 6.38 7.48 6.08 4.69 3.11 2.36 4.18 7.09 6.51 4.48 5.1 6.6 6.4 9.46 3.54 5.41 5.87
"31" 6.11 4.02 6.25 8.34 5.45 1.61 5.79 5.51 1.12 6.73 4.56 4.61 5.42 5.62 4.3 6.35 6.92 6.07
"32" 7.25 5.18 -0.4 0.42 3.75 3.98 5.29 4.67 3.64 5.91 6.37 5.94 4.05 2.6 6.22 4.69 3.86 7.19
"33" 0.49 3.25 1.65 8.4 2.19 3.97 7.89 -0.12 7.44 6.17 4.11 3.38 6.15 6.29 4.84 2.92 3.72 6.6
"34" 4.05 2.14 5.57 6.05 2.94 4.73 7.37 3.58 5.57 5.51 0.61 5.53 3.64 6.54 4.28 7.32 2.6 0.58
"35" 5.83 3.57 6.13 5.84 5.62 5.22 2.05 8.53 2.11 4.51 1.71 6.28 6.43 2.01 3.36 6.23 7.22 8.83
"36" 1.27 4 3.65 6.51 3.65 5.16 6.63 2.87 5.29 6.46 6.18 4.52 5.59 5.29 9.56 8.56 3.56 6.43
"37" 5.08 1.85 4.9 6.4 3.01 7.84 6.14 8.4 7.67 3.2 3.39 3.78 6.13 2.25 6.52 5.91 4.18 9.15
"38" 4.45 3.21 5.96 5.19 8.96 6.76 11.08 5.84 4.43 6.44 4.76 6.95 2.32 8.25 3.19 1.11 4 6.59
"39" 2.85 5.6 3.41 4.56 7.59 6.75 2.8 5.45 2.76 5.66 4.01 0.62 4.78 2.3 2.16 6.24 -0.36 7.84
"40" 4.62 3.31 5.89 6.03 3.96 6.06 3.36 4 4.99 1.3 6.38 3.71 7.5 4.33 6.98 5.74 5.89 3.2
"41" 5.59 7.05 5.24 2.76 5.23 5.92 6.59 3.65 5.65 5.19 3.82 5.2 6.57 3.1 8.87 7.02 1.58 5.08
"42" 4.58 5.65 4.09 6.14 4.76 5.16 4.39 4.92 4.22 5.15 2.91 7.27 5.25 5.25 5.35 7.47 3.35 5.6
"43" 4.48 4.77 4.15 3.77 5.06 7.76 3.62 4.2 7.94 6.56 3.79 6.48 4.86 3.27 4.63 5.54 1.23 5.27
"44" 4.98 3.38 4.1 6.08 9.03 10.99 7.05 8.14 9.1 6.11 3.86 7.7 6 7.1 5.14 7.83 7.11 4.89
"45" 4.5 5.93 5.85 0.86 -1.05 3.57 4.36 3.38 4.09 5.62 5.27 5.02 5.62 5.53 3.98 3.81 7.12 3.81
"46" 5.68 5.65 5.09 3.94 5.18 4.69 4.68 4.5 7.85 1.63 5.14 3.93 4.64 4.25 1.11 8.08 3.48 3.44
"47" 3.38 3.5 6.1 3.58 3.98 4.32 6.7 3.47 5.56 5.4 2.8 8.33 0.59 1.44 0.81 4.14 7.42 2.79
"48" 2.66 7.54 2 2.49 2.22 5.25 5.08 2.05 7.25 4.21 3.89 1.55 2.78 4.33 4.79 8.89 2.84 8.87
"49" 4 3.91 5.62 8.57 0.43 7.87 5.4 3.21 2.95 0.05 5.83 3.23 6.16 6.55 7.06 2.91 8.34 3.25
"50" 4.82 3.64 3.15 6.18 3.35 4.36 5 4.04 5.91 2.61 4.25 3.97 9.28 5.82 4.31 4.04 2.32 6.4
