"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29"
"1" 8.32 5.9 8 6.87 4.58 5.57 5.88 3.06 6.15 9.01 8.01 6.75 3.06 3.74 3.37 2.82 1.69 4.52 2.62 3.96 3.85 7.11 6.9 7.45 2.71 7.22 7.67 4.78 3.02
"2" 1.37 3.72 4.05 8.9 7.23 7.31 7.43 7.9 3.77 6.75 6.54 4.42 0.95 8.8 4.12 6.75 7.31 5.95 7.39 5.59 8.41 5.55 6.08 4.4 2.57 4.8 4.89 8.96 3.87
"3" 4.25 3.57 7.54 4.92 1.12 5.65 6.22 8.28 2.65 3.46 2.34 8.2 5.42 4.8 5.62 1.96 3.11 5.05 1.51 5.19 8.05 5.36 8.57 6.77 5.89 2.43 6.24 6.16 5.2
"4" 5.69 4.34 6.99 3.4 3.68 5.56 3.22 4.2 6.03 3.57 4.33 3.3 5.05 1.38 3.66 3.01 3.9 5.33 7.04 5.55 6.83 1.82 4.39 5.29 6.76 8.52 7.91 5.02 8.06
"5" 9.27 8.72 4.83 3.71 5.82 4.74 2.14 4.2 4.32 4.54 2.28 5.98 7.7 8.36 4.69 3.83 1.9 2.59 7.55 4.93 5.5 5.19 1.44 5.52 4.8 2.13 2.92 4.51 3.93
"6" 5.4 2.7 7.16 3.15 3.06 6.21 2.61 9.42 4.96 4.8 3.72 4.92 10.24 5 3.81 5.91 5.97 6.82 2.52 2.52 4.99 5.28 3.61 7.41 4.11 6.4 3.86 4.17 3.2
"7" 6.89 4.72 7.49 9.31 4.35 2.29 6.62 6.56 5.73 3.42 4.97 1.73 8.63 7.57 3.77 5.86 4.79 4.08 3.95 5.57 4.55 1.66 3.88 7.21 6.39 6.92 3.17 5.58 7.86
"8" 8.16 5.53 4.1 9.11 6.38 6.26 5.7 3.97 4.44 6.63 3.29 6.26 4.47 6.02 5.96 6.61 3.47 4.04 4.71 8.64 1.68 4.31 7.02 5.53 6.57 5.57 4.09 5.05 0.38
"9" 0.13 4.48 5.34 5.49 6.36 5.85 7.48 7.37 2.35 1.29 6.83 3.21 8.06 7.24 4.24 6.11 5.32 4.02 1.35 2.56 4.69 7.91 3.76 2.58 2.92 4.47 5.68 5.72 4.86
"10" 5.53 5.88 2.97 2.48 5.46 7.47 4.61 1.52 5.12 4.58 5.96 10.15 3.42 3.76 4.01 5.95 5.15 2.13 7.01 5.9 1.84 5.42 3.75 6.97 6.8 5.41 1.55 4.66 6.57
"11" 7.54 2.94 4.5 4.35 3.64 1.95 5 6.37 3.27 3.24 5.49 9.14 7.29 2.95 6.81 -0.21 0.9 6.05 8 6.98 1.15 7.74 7.18 3.88 5.77 6.99 1.83 4.14 4.61
"12" 4.34 7.51 4 4.03 2.32 2.78 6.06 2.84 6 6.01 2.2 5.44 3.66 7.23 6.57 9.24 5.86 7.9 4.69 4.19 2.01 2.34 7.29 2.4 3.67 3.36 4.3 6.32 3.39
"13" 0.7 2.34 5.89 6.66 8.94 3.72 5.98 5.97 1.58 4.26 3.48 2.86 4.65 6.08 5.36 3.21 5.57 7.84 6.61 5.94 2.32 5.16 6.37 4.05 4.36 6.06 4.78 6.58 6.47
"14" 2.66 5.54 6.14 3.28 6.76 2.29 6.1 3.42 7.16 5.24 2.89 2.73 6.32 5.59 8.08 5.39 4.87 6.78 5.81 3.15 4.79 4.95 4.11 2.75 1.22 6.17 4.58 6.42 3.81
"15" 6.33 8.43 5.24 2.83 2.45 5.16 6.12 5.3 0.31 4.38 5.16 2.44 6.79 5.43 7.45 5.43 6.4 5.61 4.58 6.2 3.56 5.34 5.76 8.99 6.47 7.71 7.09 7.65 6.19
"16" 5.39 5.94 3.36 5.45 7.63 5.37 1.08 7.21 4.32 5.3 5.27 2.39 3.45 4.22 6.57 6.13 3.24 3.18 5.49 4.42 3.79 6.25 6.04 7.61 11.43 0.92 11.14 2.37 2.35
"17" 0 3.21 10.85 5.37 6.2 4.37 8.38 3.45 6.22 3.48 1.57 5.74 7.32 6.87 3.1 5.36 5.61 2.17 1.93 2.9 6.67 1.22 4.25 2.53 5.71 4.51 4.59 5.26 2.26
"18" 4.99 1.34 6.31 5.08 2.11 2.86 3.16 5.08 8.16 1.91 6.5 6.88 6.75 2.75 7.22 7.17 2.83 4.81 5.37 5.52 2.74 1.27 6.65 5.01 3.86 3.46 2.63 7.18 4.78
"19" 3.54 5.22 2.81 4.34 1.85 3.12 8.14 7.31 3.39 2.13 7.01 2.41 4.33 4.9 5 7.81 4.26 3.98 5.08 3.52 5.05 3.19 6.75 5.39 3.21 5.07 8 8.9 6.54
"20" 8.45 4.53 7.47 6.32 7.35 5 4.22 6.31 8.13 5.86 7.31 5.15 5.95 5.69 5.95 6.35 5.19 5.26 1.26 4.95 7.21 5.48 3.64 7.47 7.74 8.34 7.87 6.58 4.23
"21" 4.92 5.33 2.09 9.02 3.89 8.37 1.55 5.74 4.91 3.39 4.18 3.3 4 4 3.97 8.05 10.32 2.58 6.61 3.46 2.88 5.55 3.07 4.07 2.31 5.34 5.76 5.77 4.67
