"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30"
"1" 1.75 7.14 2.63 2.51 7.25 6.47 4.87 7.26 4.39 4.84 5.37 4.68 4.36 3.73 3.08 4.97 5.62 3.4 3.4 4.22 0.62 7.54 6.06 3.74 1.13 7.01 1.58 3.95 5.46 3.39
"2" 3.03 6.29 5.46 6.11 2.27 3.63 4.59 3.75 5.99 6.58 4.79 2.17 5.39 4.99 2.39 9.01 6.69 5 5.9 3.05 3.86 5.51 7.09 6.98 2.2 4.64 5.4 7.98 4.08 3.62
"3" 6.56 6.64 4.06 6.09 6.12 6.97 8.41 6.8 4.45 3.01 4.78 4.08 5.25 7.74 3.25 6.49 6.89 6.06 4.33 8.54 3.52 5.41 3.5 6.47 5.41 6.6 8.15 2.41 3.3 3.84
"4" 2.49 3.86 2.76 4.41 7.51 7.59 7.21 5.42 2.84 3.16 3.77 4.45 5.99 1.85 2.82 4.81 3.78 6.85 4.82 3.45 4.26 6.37 1.36 4.02 4.42 5.37 2.22 3.63 0.28 4.31
"5" 3.93 1.32 6.55 2.74 4.6 3.27 1.51 5.93 3 8.19 7.41 4.94 3.46 5.11 3.34 4.96 3.38 9.26 3.35 3.97 6.97 5.49 5.26 5.59 4.09 4.8 2.97 5.26 2.95 8.79
"6" 6.88 1.47 4.88 6.69 5.31 4.65 3.09 3.72 -1.15 5.04 4.54 5.45 5.12 5.12 3.48 7.06 4.53 1.99 3.29 3.96 6.34 4.76 5.63 5.8 2.32 1.3 3.39 8.85 5.64 5.69
"7" 3.74 4.49 6.64 2.45 7.4 4.28 8.2 5 3.86 6.45 3.99 6.74 5.03 7.82 3.27 5.46 6.17 7.45 3.21 3.68 6.04 5.8 3.18 7.62 6.94 0.98 0.06 6.85 5.61 2.84
"8" 4.19 3.47 5.44 9.6 5.14 4.52 3.59 5.7 3.91 7.2 2.24 2.05 5.36 4.35 4.68 1.7 4.99 5.07 8.76 5.87 5.13 4.6 4.78 4.84 4.74 7.7 5.45 3.04 6 5.84
"9" 6.66 3.45 9.26 7.41 5.16 7.38 3.05 5.05 5.78 2.75 5.95 8.94 4.31 8.18 7.07 5.02 8.86 2.93 3.2 5.45 7.16 5.27 6.01 4.76 5.56 3.45 4.28 6.2 9.12 6.09
"10" 3.75 7.01 6.24 6.21 3.72 8.46 4.24 2.56 7.68 7.37 5.59 5.57 4.32 3.35 4.19 5.93 6 4.07 2.48 5.49 5.87 5.23 6.73 6.76 3.01 5.31 5.56 7.01 6.84 4.23
"11" 1.35 5.56 5.1 8.37 10.1 5.1 3.83 6.63 4.3 4.03 5.16 9.6 5.81 5.38 7.45 4.87 5.77 4.23 3.31 5.99 7.08 2.51 5.4 1.02 1.11 6.12 2.71 7.95 3.68 6.37
"12" 8.77 10.83 5.96 0.57 6.5 5.24 5.49 5.57 4.03 5.41 3.6 3.92 6.21 2.13 1.53 6.38 6.72 8.78 0.62 4.22 9.84 8.59 8.63 2.63 6.3 6.04 5.66 5.26 7.56 4.21
"13" 6.4 3.74 5.14 5.21 7.5 3.58 2.42 5.52 3.61 6.3 2.66 5.65 3.87 7.88 1.11 7.41 1.51 3.57 8.04 2.55 3.41 4.06 5.11 6.13 3.02 5.75 1.43 4.57 4.98 2.38
"14" 6.9 9.33 3.94 5.86 3.17 4.51 9.66 1.91 6.65 4.14 6.79 5.35 1.82 8.19 6.15 2.95 6.03 3.03 7.46 3.97 4.28 8.23 7.59 3.11 10.56 2.25 5.75 7.96 4.2 1.91
"15" 4.78 4.97 3.98 4.62 5.78 5.9 3.09 3.56 7.65 3.71 5.26 6.78 4.41 7.72 4.52 6.95 4.3 5.44 5.33 4.39 5.75 3.6 6.58 5.31 7.1 3.1 5.69 4.18 4.63 4.49
"16" 5.62 6.49 4.83 3.36 5.98 7.24 5.07 6.05 6.81 5.37 4.02 2.47 9.94 3.23 5.12 1.96 4.15 6.11 7.98 5 5.67 3.46 6.21 1.83 4.74 5.34 4.16 4.89 4.86 6.8
