"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32"
"1" 5.6 4.45 3.46 10.07 7 6.59 4.61 4.65 3.42 3.65 2.46 2.04 8.36 4.94 4.41 4.12 5.67 2.14 4.04 6.91 8.11 0.45 4.67 4.03 3.72 8.04 7.53 2.55 6.81 7.36 4.28 11.34
"2" 6.33 7.84 3.97 3.48 9 3.69 6.23 4.21 5.86 3.12 4.57 6.83 6.43 6.31 6.09 2.78 5.41 2.91 4.51 3.63 4.81 3.85 6.31 4.96 7.68 8.97 5.71 4.94 4.95 10 5.98 5.33
"3" 3.96 6 5.06 4.21 3.39 7.71 5.86 2.64 4.03 4.15 4.48 5.56 2.45 4.58 3.2 5.35 10.57 5.34 5.59 5.21 5.38 4.87 4.57 4.56 4.62 4.55 8.51 4.76 5.36 5.18 5.28 3.98
"4" 3.84 5.6 4.54 6.05 5.17 3.26 3.59 4.27 2.77 5.26 6.28 5.96 4.23 3.73 0.43 6 8.42 5.23 4.95 3.85 4.92 6.56 4.44 4.63 1.23 3.43 4.31 6.67 3.78 2.79 7.39 5.56
"5" 4.33 5.89 8.19 5.75 6.05 1.89 6.33 7.09 6.23 6.22 9.38 6.18 6.47 5.35 6.45 -1.56 5.71 7.85 7.12 4.16 1.49 4.09 3.6 6.35 2.98 6.31 3.14 5.14 2.13 5.43 4.54 6.62
"6" 5.59 8.44 6.98 5.12 6.57 5.6 6.49 7.28 6.77 5.89 9.62 4.4 3.58 3.43 6.4 3.85 4.8 5.55 4.81 4.29 5.49 4.22 7.16 4.82 3.54 4.46 6.73 9.4 7.93 9.43 4.86 6.47
"7" 5.4 5.65 7.85 4.19 5.33 3.23 5.42 3.41 2.74 7.23 6.2 2.86 5.69 5.63 4.04 4.83 6.78 7.12 5.99 4.51 5.42 6.91 5.37 5.16 7.91 5.92 5.34 6.2 2.42 6.68 2 6.24
"8" 7.79 8.48 2.99 1.85 4.73 6.59 9.06 4.18 5.01 6.42 7.95 4.15 2.47 7.35 3.96 2.64 8.67 4.13 7.7 5.63 8.38 3.86 6.62 6.64 5.04 4.4 6.11 4.62 5.37 1.88 4.78 1.58
"9" 6.48 7.5 6.09 7.2 5.86 5.99 7.08 5.67 2.7 6.66 4.33 4.48 4.7 5.54 6.96 4.23 3.88 2.65 3.96 9.15 4.1 6.41 5.61 4.15 7.93 4.07 4.55 4.79 7.26 2.54 8.02 7.12
"10" 5.78 4.76 4.63 3.63 7.84 1.81 4.52 3.33 -1.08 6.28 5.96 5.36 2.87 5.92 4.89 4.52 5.15 5.86 5.45 6.6 4.15 4.85 5.94 1.78 5.19 3.17 1.83 7.97 10.87 1.54 0.95 6.89
"11" 3.66 5.89 4.61 7.22 4.06 3.69 6.63 5.81 4.81 5.44 3.41 4 4.03 5.7 2.35 4.82 6 8.72 3.65 1.21 7.93 6.62 3.03 3.83 7.1 4.85 6.39 7.36 5.37 2.81 5.71 5.51
"12" 3.6 6.29 1.77 5.93 4.47 9.03 7.43 6.72 6.14 6.02 4.23 5.7 5.13 4.3 4.85 5.33 7.33 5.11 7.63 2.45 4.91 2.82 2.53 6.71 9.53 6.09 2.58 4.5 2.59 5.1 1.99 3.35
"13" 7.53 5.76 7.54 7.15 5.01 5.54 3.53 4.92 6.07 6.75 7.65 4.91 1.26 7 5.5 6.33 1.61 1.58 0.28 7.21 3.35 3.85 7.94 6.04 2.88 1.76 3.9 3.32 8.55 6.53 9.12 4.02
