"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41"
"1" 3.86 7.5 7.14 4.72 4.71 1.84 7.37 6.92 5.34 5.7 2.69 1.75 7.38 3.47 2.32 6.21 4.78 2.89 6.9 8.55 4.54 8.93 3.65 6.39 3.53 3.93 4.8 4.17 3.62 2.38 7.88 2.19 3.73 4.03 4.3 8.01 4.18 4.32 3.01 5.85 5.21
"2" 4.61 -1.02 -1.48 3.46 5.57 3.58 8.58 4.04 5.72 8.41 7.42 6.45 4.05 2.37 6 2.68 7.25 8.16 5.52 6.13 5.18 4.64 2.95 5.38 2.8 6.37 10.12 4.76 9.01 5.62 5.51 4.98 7.51 5.67 9.49 2.55 5.65 3.1 1.63 7.34 2.8
"3" 3.71 4.29 6.14 1.89 5.42 2.51 6.51 7.75 4.72 7.1 10.25 2.38 4.38 7.81 8.38 5.12 7.1 4.7 5.94 10.21 10.09 7.04 7.14 6.34 5.84 7.68 5.27 7.05 4.68 5.78 5.81 4.98 5.25 7.33 10.69 2.91 3.57 6.53 3.98 3.81 4.04
"4" 5.48 3.34 4.27 9.06 3.95 10.82 4.33 5.02 3.39 7.56 8.03 6.78 2.7 4.51 4.88 2.12 7.48 3.82 6.01 7.81 4.86 3.63 6.02 7.43 5.76 5.33 1.32 6.53 6.83 5.29 6.17 4.59 6.46 4.38 5.46 6.09 4.46 6.05 4.18 3.35 3.71
"5" 8.1 4.85 6.52 5.52 6.63 5.01 4.31 9.36 2.36 5.52 3.85 6.25 3.11 3.14 3.5 3.16 6 6.28 5.35 4.6 4.81 2.86 4 6.97 6.65 4.6 5.04 7.29 6.41 5.62 3.48 3.2 4.32 6.82 1.24 2.25 0.02 6.43 5.67 7.69 6.79
"6" 7.67 4.66 2.87 7.98 3.55 4.97 7.26 1.36 6.08 3.07 1.62 6.46 6.51 4.89 7.07 3.57 6.23 5.34 4.85 6.44 2.07 4.8 8.3 3.34 7.44 2.11 6.08 4.7 7.07 5.94 2.34 8.72 4.86 2.2 3.11 7.22 5.42 4.51 -1.66 4.63 5.36
"7" 6.27 6.07 6.81 4.25 6.95 7.68 4.29 5.86 3.77 5.21 4.83 5.92 7.25 5.39 4.1 3.86 7.87 2.81 4.15 5.05 3.62 4.03 5.74 3.67 6.24 6.84 6.07 2.11 4.55 3.99 3.92 4.13 6.92 3.53 6.11 5.91 3.07 6.49 5.78 6.88 3.84
"8" 3 2.76 4.29 6.8 4.41 8.17 3.36 4.92 5.33 5.93 6.88 4.36 3.86 2.01 5.04 4.64 9.24 3.13 3.22 5.16 6.08 1.85 2.44 5.55 4.05 6.92 9.39 2.42 4.87 4.14 8.16 3.54 5.32 2.7 3.71 3.45 2.73 7.45 3.84 3.64 5.77
"9" 5.18 4.7 6.39 5.31 7.73 2.29 2.85 4.66 6.28 6.99 4.21 10.12 4.82 5.82 3.22 10.93 4.88 5.32 0.47 8.06 5.9 5.84 4.89 5.57 4.08 3.19 6.16 3.92 6.17 5.58 9.88 2.84 5.86 6.34 5.46 5.31 7.11 4.83 6.47 3.48 3.99
"10" 7.14 4.95 4.92 3.56 6.58 4.07 9.29 7.47 5.03 7.57 5.05 6.07 0.97 7.05 6.03 5.36 7.53 3.8 6.08 2.65 6.13 3.61 7.13 5.6 6.26 8.8 4.23 5.02 5.8 3.83 6.52 4.74 3.42 7.29 3.96 4.93 3.16 0.71 6.15 6.61 4.06
