"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38"
"1" 2.57 1.51 5.75 2.4 7.8 1.4 4.16 8.06 9.22 -0.08 8.02 0.61 5.46 5.47 4.09 3.06 2 1.72 3.28 7.66 5.03 6.92 3.96 4.31 5.93 5.43 6.48 5.29 6.21 4.89 4.41 9.78 7.6 4.96 4.18 3.28 4.49 5.63
"2" 5.14 5.45 2.74 1.04 5.83 6.62 3.84 4.25 3.1 4.1 8.15 4.18 4.71 5.69 3.86 5.7 5.65 2.5 3.54 2.84 5.98 7.34 5.26 5.41 8.15 7.82 7.4 6.09 5.72 5.83 4.26 11.12 6.77 7.22 7.1 6.59 4.51 6.94
"3" 6.84 3.4 4.46 4.14 3.46 4.75 4.65 7.09 6.07 8.33 5.74 6.74 5.28 5.45 6.84 5.68 6.97 1.83 4.72 -0.52 5.99 4.55 7.18 9.91 5.94 5.96 2.83 4.81 6.8 3.77 2.86 6.78 8.47 3.79 4.64 5.98 6.09 8.62
"4" 1.69 4.41 2.69 2.21 5.99 2.23 6.44 2.11 6.33 3.51 3.42 2.93 6 9.81 7.61 7.93 4.69 3.43 4.67 4.56 6.2 4.34 2 4.2 4.37 5.88 5.37 6.01 2.84 4.92 5.03 6.55 4.97 1.91 4.93 1.54 4.25 2.16
"5" 4.41 6.7 7.92 5.11 6.31 4.87 7.76 4.35 4.25 7.4 8.06 4.76 3.79 4.42 5.85 0.82 4.11 5.27 5.24 4.08 2.77 0.67 4.19 8.97 4.32 5.07 3.71 7.06 6.6 7.08 2.93 5.62 7.39 3.16 2.98 4.98 7.05 3.76
"6" 5.43 3.54 5.37 5.63 3.99 7.25 4.46 3.27 8.27 6.11 2.21 4.05 6.76 4.65 2.15 5.75 5.37 4.9 3.01 2.76 6.35 3.29 4.63 6.82 4.57 5.86 6.44 8.66 5.76 4.74 3.81 4.86 3.38 6.25 4.15 7.66 4.73 6.12
"7" 4.02 4.57 5.6 5.26 4.62 8.3 3.59 5.15 5.01 3.02 6.39 5.28 7.32 4.75 1.23 2.02 3.98 3.46 4.72 8.12 7.08 2.34 6.95 5.85 5.31 7.32 5.4 4.83 7.7 8.35 5.75 5.04 5 5.49 8.37 3.29 7.34 4.56
"8" 4.85 4.97 7.14 0.74 3.36 8.84 7.06 7.08 5.05 0.25 4.43 4.86 1.84 2.18 8.83 4.14 1.46 3.05 6.56 5.99 6.27 7.1 2.16 6.21 5.47 8.13 5.6 3.13 2.38 7.21 7.73 7.2 5.12 6.79 4.04 4.26 5.44 4.37
"9" 6.23 4.4 5.67 1.95 5.29 3.75 5.34 7.37 6.11 5.33 4.25 5.26 1.3 3.99 10.11 3.89 1.05 3.98 6.1 3.66 8.37 5.11 3.29 3.09 7.36 2.84 5.45 1.61 6.76 4.12 10.41 8.76 3.28 5.24 5.32 6.99 4.76 5.88
"10" 2.83 3.32 5.63 5.11 3.24 7.31 3.25 4.54 3.83 6.67 4.95 5.38 2.79 5.94 5.08 1.08 1.53 7 4.06 6.33 3.78 1.51 1.85 2.17 4.34 3.13 4.39 3.63 2.21 3.19 3.06 4.74 5.92 7.29 4.84 4.71 6.65 4.72
"11" 7.85 7.33 8.99 4.58 7.2 5.87 2.33 4.95 7.18 3.76 4.08 6.04 7.05 2.03 6.61 3.88 3.35 4.53 7.88 6.06 6.47 5.89 7.8 2.67 5.91 6.02 4.24 3.97 4.3 2.01 6.61 5.32 7.12 2.41 4.16 2.63 5.2 -1.3
"12" 6.84 2.19 5.63 2.68 4.26 3.33 4.38 6.43 6.55 3.92 2.29 4 6.23 4.2 6.04 4.35 5.94 1.61 6.41 6.5 6 5.11 6.41 3.14 6.35 2.99 4.28 2.56 5.14 6.53 1.82 7.12 6.46 5.09 8.2 5.83 8.71 8.79
"13" 5.58 4.83 5.12 7.04 6.4 5.8 6.35 3.53 3.41 3.26 2.6 9.19 7.1 8.84 4.06 5.69 6.47 3.94 8.73 4.34 7.36 2.62 3.93 5.61 4.72 0.73 3.48 3.57 5.24 10.89 9.17 4.3 5.87 8.91 8.4 6.87 4.75 6.5
"14" 5.06 4.73 8.17 5.87 5.61 -0.23 5.72 2.5 3.96 6.81 6.97 5.46 2.08 7.74 1.67 3.2 7.19 6.16 5.85 3.57 4.95 3.39 5.07 3.87 6.81 4.97 7.48 3.11 2.53 5.88 4.41 4.04 3.96 6.87 2.64 3.69 3.75 8.17
"15" 6.71 9.93 4.09 3.65 3.72 5.72 8.03 4.97 5.87 5.16 4.77 3.24 7.03 5.11 3.09 8.37 4.11 6.66 4.56 5.44 3.64 7.42 6.42 4.54 4.82 7.08 3.68 2.2 5.66 4.39 1.42 5.97 1.79 4.33 5.65 5.4 5.21 5.34
"16" 1.3 8.59 4.4 7.16 4.42 2.89 8.25 2.02 5.46 1.37 0.66 0.96 6.16 5.66 5.24 5.41 5.4 5.83 5.94 5.57 3.93 5.48 6.51 3.86 10.23 5.71 5.57 2.27 4.37 7.57 8.25 3.91 6.16 2.77 3.55 2.24 5.73 3.44
"17" 5.49 5.54 3.48 7.21 5.84 5.07 4.33 2.9 5.91 4.36 2.49 5.6 4.48 5.97 5.51 3.07 4.66 3.85 3.72 3.46 4.18 4.97 4.78 4.19 4.78 1.96 4.62 5.96 3.4 3.54 3.84 6.07 4.98 5.25 6.9 3.08 5.33 5.28
"18" 6.21 1.6 5.33 5.31 5.56 4.88 7.38 3.98 2.16 2.31 2.49 5.75 0.56 8.51 8.28 2.02 6.09 6.18 5.11 7.83 2.61 5.08 8.97 5.93 5.28 5.14 5.93 7.6 3.4 4.92 5.41 4.54 4.89 5.61 5.86 6.14 1.94 3.03
"19" 1.06 3.61 4.87 6.49 4.73 6.05 7.01 4.18 7.18 7.88 7.55 3.8 4.48 5.01 5.4 7.63 8.92 6.86 6.77 3.85 0.44 4.85 3.61 4.97 6.19 3.39 4.38 6.61 1.4 5.72 2.34 6.91 4.12 4.2 4.8 2.95 1.65 5.93
"20" 4.84 5.07 5.62 3.56 3.54 7.22 4.88 3.3 6.46 1.73 1.66 7.26 9.17 5.71 4.46 2.99 2.26 5.89 4.43 1.4 6.65 5.54 5.4 1.39 5.24 5.03 2.71 3.95 3.6 3.3 6.21 5.14 6.34 0.86 0.97 3.61 4.96 5.73
"21" 3.09 5.33 3.63 8.84 2.8 10.61 4.19 5.11 3.96 6.72 3.73 4.11 6.78 5.24 4.19 5.02 6.41 2.68 5.85 5.72 3.99 5.01 4.15 6.81 5.42 8.58 2.76 7.62 6.98 3.03 5.12 4.4 5.27 3.26 6.81 5.73 4.25 7.85
"22" 3.2 4.68 2.3 5.17 7.98 6.73 1.99 3.18 5.01 6.17 5.53 5.31 6.03 5.54 7.73 6.59 7.23 5 5.24 7.06 5.33 6.47 5.23 3 5.68 6.08 3.48 3.22 2.88 3.71 0.47 6.26 5.6 8.42 5.42 3.45 6.67 5.49
"23" 7.05 3.41 3.92 7.01 2.76 5.73 2.42 5.52 4.43 7.62 3.87 4.03 2.29 4.48 8.63 9.14 4.39 1.62 4.84 5.97 2.56 2.33 7.95 5.04 6.6 4.75 2.02 7.43 5.12 2.42 6.17 4.78 6.69 1.43 5.01 3.78 4.32 8.24
"24" 8.59 5.37 3.43 5.17 7.39 4.98 3.4 2.12 4.63 6.7 3.99 5.8 3.34 6.18 7.01 3.57 7.13 6.15 5.73 5.69 4.14 3.93 5.07 3.91 4.89 2.54 5.39 4.71 6.36 3.61 7.71 4.08 6.77 4.57 4.65 3.18 0.71 3.94
"25" 6.82 6.7 7.02 6.69 0.52 10.88 4.33 5.81 7.52 5.57 7.05 6.86 4.59 7.96 4.91 4.79 6.62 8.45 4.91 3.18 4.23 10.23 5.83 7.02 3.07 7.2 -0.16 7.64 3.15 2.85 2.15 8.23 9 7.27 8.75 3.61 3.04 5.33
"26" 4.89 4.41 3.96 4.92 6.01 3.06 7.67 6.1 5.9 2.8 3.37 8.24 5.49 6.06 5.04 6.9 5.13 5.62 5.8 3.22 7.43 2.9 6.14 7.58 5.93 4.73 5.98 7.59 6.77 4.69 3.94 6.55 5.2 9.65 2.7 7.36 3.16 5.75
"27" 6.21 3.42 5.45 4.93 5.34 8.44 8.44 5.15 4.66 2.87 3.3 5.29 4.28 4.98 5.4 3.06 3.57 4.44 5.62 4.75 6.37 5.44 6.27 7.02 5.06 5.97 5.51 5.42 6.62 7.14 6.17 5.96 5.36 4.81 5.29 5.08 6.45 6.25
"28" 4.33 4.6 2.61 4.71 4.46 5.42 7.6 2.51 7.9 2.05 6.64 5.48 6.03 4.06 3.78 7.42 3.38 3.59 2.5 4.68 4.88 3.5 1.21 1.94 3.55 0.74 7.06 5.61 4.27 7.78 4.77 3.88 4.41 6.9 3 3.8 4.52 4.24
"29" 4.35 4.27 3.91 5.57 3.26 2.64 4.7 5.83 4.21 6.91 8.33 7.15 5.28 2.44 6.95 4.83 7.55 5.28 2.36 5.8 6.62 9.35 6.13 5.15 1.54 5.64 4.63 6.56 2.97 4.43 6.97 6.31 7.85 7.28 7.14 2.86 6.9 7.46
"30" 6.7 4.83 5.4 4.59 4.3 7.88 1.82 5.44 5.03 4.13 2.73 1.86 5.49 4.37 5.04 3.45 4.1 2.92 5.2 5.12 5.23 6.05 4.82 2.6 4.59 4.98 7.14 2.03 1.41 4.14 5.25 5.87 6 3 6.42 -0.03 2.74 5.81
"31" 3.45 6.64 4.3 5.41 3.95 2.84 4.97 3.83 4.78 5.36 6.76 4.31 5.59 4.97 1.01 7.58 6.25 7.63 7.15 4.63 4.56 2.02 4.83 5.29 7.57 4.51 6.44 3.59 6.58 3.09 5.72 3.23 2.17 2.77 3.1 2.86 3.78 8.67
"32" 6.41 2.43 5.85 5.09 5.71 3.66 4.79 3.84 3.81 5.05 7.04 7.76 6.85 7.91 6.76 4.71 6.72 6.65 7.32 7.14 2.84 3.59 5.04 6.65 7.52 4.21 5.05 4.69 6.32 4.74 7.69 5.13 5.54 7.13 8.25 7.89 2.57 4.01
"33" 5.03 5.24 5.81 3.77 4.39 2.3 3.85 3.15 4.49 4.27 3.06 6.57 7.5 -0.32 4.64 2.99 3.88 5.3 4.44 3.95 1.63 4.27 4.31 -0.32 4.8 8.17 7.3 5.56 2.08 4.78 6.88 2.94 6.57 5.35 2.14 3.78 5.3 3.9
"34" 2.85 6.79 4.08 2.59 5.36 5.94 3.7 7.16 5.14 6.68 4.79 4.43 6.22 3.5 4.5 2.58 4.78 3.44 3.27 4.71 4.11 5.33 8.31 8.23 4.22 2.14 1.7 5.06 6.43 2.11 6.29 3.3 7.04 9.88 5.31 5.97 2.55 5.43
"35" 6.15 6.4 6.15 5.56 5.3 3.29 5.84 7.54 6.63 6.87 3.15 5.98 5.26 4.4 6.92 4.13 5.67 8.51 5.26 5.39 6.97 3.22 6.77 2.93 7.86 5.2 3.7 4.77 7.08 4.98 3.51 11.29 6.09 4.25 4.17 5.41 5.67 3.18
