"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17"
"1" 2.31 1.36 7.86 7.33 3.26 1.95 5.33 3.85 5.01 2.86 6.42 1.43 3.74 4.89 1.05 5.77 6.18
"2" 5.49 4.67 6.56 1.54 5.99 6.31 6.12 6.46 6.36 4.16 9.23 6.2 10.97 6.68 1.66 2.78 9.02
"3" 3.95 3.31 2.97 6.38 6.01 8.06 8.36 7.27 1.48 6.7 1.3 4.88 6 3.74 6.62 9.59 1.53
"4" 3.97 4.08 5.09 0.94 5.26 1.42 1.69 3.2 0.7 1.94 4.69 4.35 6.99 5.43 3.09 6.43 1.12
"5" 3.22 4.27 3.27 4.68 1.61 6.66 2.25 6.5 6.63 1.7 5.84 5.9 7.71 4.11 5 5.98 3.5
"6" 6.42 4.43 5.32 6.03 4.15 1.19 6.47 7.87 2.12 2.14 6.98 3.28 4.12 3.38 4.46 5.06 2.6
"7" 5.95 3.84 4.29 7.46 2.95 5.16 8.44 5.02 3.91 5.06 5.67 6.32 1.79 4.41 4.62 7.44 4.93
"8" 5.49 3.09 4.08 5.41 7.16 4.48 3.04 5.39 4.83 0.74 7.82 5.7 7.32 6.32 4.38 3.37 3.76
"9" 4.23 6.31 4.47 7.49 3.69 9.9 7.07 6.28 2.27 3.43 7.94 4.49 5.91 9.74 5.45 6.4 6.54
"10" 5.54 3.6 2.04 3.78 4.49 3.98 6.82 3.5 6.5 5.97 4.97 3.78 4.14 5.03 5.42 5.87 4.4
"11" 3.58 7.41 4.26 5.05 4.25 7.38 7.07 4.29 5.69 6.72 3.98 7.76 3.62 3.67 6.38 8.63 6.28
"12" 1.19 3.05 4.25 4.24 3 5.21 8.22 3.45 6.18 3.55 5.61 2.78 0.11 4.21 9.97 2.59 3.05
"13" 3.79 2.44 2.36 4.93 1.72 3.88 7.75 5.89 7.2 6.14 4 2.4 1.94 5.9 2.66 7.44 0.9
"14" 4.73 4.57 5.79 4.42 4.79 7.84 7.35 4.25 2.9 3.62 5.62 8.77 7.92 6.97 3.5 3.36 6.54
"15" 1.3 3.01 3.17 3.59 6.14 5.44 5.34 5.03 3.02 3.46 4.99 6 6.77 7.09 3.35 6.34 7.34
"16" 6.47 7.49 6.26 4.18 4.81 8.54 8.81 5.46 3.08 4.9 6.6 3.81 6.77 4.78 4.01 0.86 2.64
"17" 9.44 1.88 8.14 4.86 3.87 1.2 4.96 5.83 8.62 7.44 7 5.6 3.24 2.63 5.68 2.7 4.8
