"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18"
"1" 5.58 6.43 4.65 4.02 5.49 3.93 5.14 7.66 2.7 4.02 7.21 1.16 4.59 3.1 7.77 8.44 5.27 5.96
"2" 4.42 6.1 3.54 8.41 4.18 2.12 4.95 3.58 3.9 3.34 5.34 3.09 7.42 6.65 4.17 2.47 5.62 3.95
"3" 4.94 5.44 5.31 2.67 5.95 7.07 5.16 4.73 5.55 8.19 5.66 1.62 5.99 6.5 2.74 2 6.29 3.29
"4" 5.85 4.43 7.3 3.94 4.35 6.11 3.66 3.79 4.15 4.35 7.68 5.3 6.74 3.1 4.61 3.39 5.05 5.06
"5" 2.39 8.12 1.43 5.21 10.29 -0.67 7.93 0.13 8.95 5.47 6.94 7.28 5.72 4.71 6.72 1.81 2.7 4.38
"6" 4.91 7.61 6.97 4.88 7.55 5.97 6.52 6.03 2.87 7.89 6.55 4.16 4.92 0.82 1.93 2.66 6.42 4.22
"7" 5.44 5.28 7.5 4.21 3.7 6.92 3.5 3.75 5.06 6.31 8 5.39 2.34 2.92 5.31 5.55 5.2 8.01
"8" 4.24 6.38 2.48 4.53 6.18 4.25 9.54 7.88 2.94 -0.24 4.75 4.94 9.13 7.66 6.37 5.57 4.86 4.59
"9" 5 8.18 3.27 1.72 1.49 7.5 2.86 5.88 8.77 3.67 3.96 2.11 6.69 7.07 4.9 7.08 6.06 4.22
"10" 2.17 5.34 6.17 2.63 7.7 5.92 6.29 6.74 5.41 2.21 5.29 5.52 4.41 5 -0.43 5.34 3.97 5.07
"11" 2.94 3.14 7.49 3.61 5.1 3.65 6.67 4.87 7.44 3.39 3.39 8.71 5.33 6.38 6.96 3.62 7.79 4.5
"12" 3.06 6.69 0.35 3.44 5.6 6.99 4.78 5.24 4.08 3.23 7.79 2.16 5.48 2.03 7.18 6.11 3.54 5.61
"13" 2.59 7.64 2.08 5.21 4.35 5.7 6.02 0.05 5.42 6.76 5.4 3.82 6.8 6.83 2.81 4.53 2.29 7.38
"14" 6.57 7.09 2.47 2.67 5.59 2.52 3.02 4.96 4.96 4.43 4.79 3.94 6.02 2.77 5.48 5.62 3.21 0.59
"15" 7.76 2 6.23 4.99 1.68 4.63 5.64 6.83 3.78 5.68 8.38 4.92 3.16 1.95 5.36 8.16 4.71 4.78
