"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24"
"1" 2.31 4.65 3.56 2.39 5.71 2.59 4.61 7.48 5.69 5.9 4.32 9.14 3.8 8.03 4.02 4.69 4.57 4.19 5.12 3.46 5.87 2.15 5.19 4.29
"2" 2.07 3.37 1.48 4.17 0.64 5.78 3.69 5.03 3.73 3.77 6.13 4.25 5.97 4.13 6.44 5.99 1.65 5.42 6.13 7.29 4.41 4.75 5.77 5.03
"3" 5.65 0.37 3.27 3.06 5.43 9.43 3.33 2.66 4.82 9.01 6.8 3.05 1.19 6.32 4.79 4.94 5.99 6.23 4.21 6.22 6.49 2.11 6.02 5.97
"4" 8.98 4.2 5.27 7.3 4.44 6.82 6.84 4.78 4.67 7.55 4.89 6.48 8.17 3.49 8.47 9.9 5.31 7.11 7.66 5.74 0.09 9.71 4.11 6.42
"5" 3.58 2.2 2.64 4.61 6.24 0.75 3.42 6.27 4.6 2.21 3.43 4.9 3.16 7.6 5.9 4.3 7.85 4.75 5.25 5.15 6.86 4.36 8.06 3.2
"6" 5.11 4.68 4.22 3.29 4.64 4.56 8.02 1.85 3.82 7.38 7.19 3.08 7.62 1.87 6.83 5.92 6.67 4.36 4.32 5.03 2.76 1.85 4.98 5.88
"7" 2.1 3.29 4.25 5.17 4.59 4.18 10.31 4.71 8.2 6.49 4.44 7.43 3.58 3.19 4.27 2 2.94 4.81 3.61 3.71 5 3.62 4.51 2.99
"8" 5.05 9.06 6.23 7.93 8.42 6.3 2.99 7.28 4.54 5.27 5.71 4.63 4.36 3.33 7.02 2.38 4.72 4.45 4.84 5.3 1.82 5.57 6.12 5.34
"9" 5.57 3.03 2.18 5.85 7.63 3.49 2.28 6.7 6.55 3.37 4.21 2.39 4.91 4.89 7.29 5.17 4.48 2.7 1.97 7.78 3.04 3.44 7.53 4.55
"10" 1.01 3.66 5.36 2.71 6.45 5.27 7.4 2.35 8.4 1.66 6.77 2.44 2.8 6.83 7.85 2.99 4.59 5.54 5.39 4.08 5.2 5.81 6.04 4.83
"11" 4.88 5.28 3.69 6.37 6.94 0.64 9.87 1.21 7.69 6.17 3.84 7.41 5.04 7.35 3.25 3.3 1.56 5.78 2.22 7.89 8.83 1.91 4.05 6.87
"12" 6.03 4.71 5.72 8.27 2.34 8.08 5.21 0.78 4.3 6.88 6.64 5.48 4.14 7.33 6.04 7.29 3.98 5.7 6.32 5.62 5.52 6.5 7.78 5.65
"13" 4.59 0.19 8.32 0.63 5.69 4.52 7.73 3.54 5.11 6.63 8.98 6.56 6.55 7.77 5.17 4.99 4.56 4.03 5.16 3.16 7.03 3.5 6.07 4.87
"14" 4.83 5.91 4.35 5.88 5.44 8.33 2.06 3.93 8.43 3.62 7.11 2.16 6.23 5.74 7.97 0.77 4.84 7.8 6.57 4.18 6.23 5.64 3.57 7.79
"15" 4.2 4.42 5.65 6.73 4.94 7.63 2.3 5.78 5.47 6.75 5.16 1.5 2.52 4.01 5.32 5.56 4.71 6.75 7.55 6.32 9.39 3.51 4.93 9.31
"16" 7.15 3.71 2.7 9.54 0.79 6.52 2.13 2.6 5.69 4.97 3.43 2.66 2.53 5.99 8.97 6.32 5.39 7.33 6.87 5.07 2.85 5.91 6.39 6.85
"17" 2.32 7.38 6.93 5.94 6.33 3.55 3.95 4.95 8.15 3.94 8.13 6.25 4.84 6.13 6.34 3.47 7.37 4.73 5.48 0.31 2.36 5.1 2.78 4.93
"18" 3.08 4.67 2.89 5.29 1.17 2.7 5.53 5.92 7.54 6.76 2.43 5.3 6.62 2.48 9.88 4.63 2.95 3.89 4.22 5.6 7.29 5.41 8.21 5.15
"19" 3.87 2.86 2.64 6.59 5.89 6.14 5.57 6.96 3.67 3.81 6.51 3.55 5.62 7.39 5.31 6.57 2 3.08 4.02 0.5 7.92 5.27 3.31 4.07
"20" 8.21 1.8 2.9 5.98 5.3 4.54 4.69 3.04 3.07 6.42 4.7 3.84 4.65 4.91 3.49 0.56 6.26 5.86 4.46 7.48 4.92 2.26 5.71 3.85
"21" 2.84 1.66 2.38 2.02 0.99 6.45 4.1 3.43 4.89 5.36 6.13 6.67 7.98 2.87 6.36 5.48 3.38 7.15 2.36 7.46 4.76 4.23 6.22 7.46
"22" 3.74 6.2 2.95 3.28 3.67 5.95 5.51 7.43 5.65 7.04 4.92 3.82 8.92 3.76 3.85 1.49 5.05 4.64 7.45 5.79 2.63 6.53 9.05 7.66
"23" 4.77 4.27 3.73 3.49 8.54 4.13 4.94 5.88 6.36 2.26 2.82 3.18 4.96 6.2 6.27 7.62 4.14 3.78 4.71 4.33 3.9 4.92 4.66 5.7
"24" 8.36 7.65 8 6.87 7.55 5.43 3.72 5.42 6.65 4.83 1.94 7.84 3.64 5.86 5.47 3.6 3.22 4.38 4.7 4.75 1.32 1.11 2.75 3.67
"25" 3.16 5.88 5.65 2.88 5.08 3.42 0.07 6.01 6.71 5.82 5.48 7.93 6.12 6.66 8.34 2.28 4.15 4.08 5.3 2.27 7.55 7.95 6.09 7.29
"26" 4.76 4.17 4.93 8.26 5.64 4.4 3.93 5.32 6.92 5.91 5.27 3.59 6.07 7.49 5.34 3.62 5.62 4.32 1.82 6.33 3.34 0.51 5.46 5.01
"27" 7.42 3.5 6.42 2.28 4.25 4.64 5.99 4.77 5.11 1.59 3.1 5.67 6.11 6.7 3.7 4.58 5.2 6.59 1.75 2.12 0.54 5.06 3.88 0.52
"28" 6.42 8.76 6.56 4.67 5.35 4.73 2.83 5.97 7.85 5.66 7 5.65 7 4.14 7.73 6.03 3.45 0.85 6.88 6.72 3.28 7.19 6.01 4.14
"29" 2.23 4.92 5.68 4.88 5.5 2.67 2.81 4.92 5.63 5.42 3.66 6.07 5.8 3.85 4.88 3.17 5.07 3.86 2.8 4.14 3.34 3.4 9.46 6.1
"30" 5.77 7.51 4.29 3.82 4.83 5.6 3.38 4.36 4.55 2.31 7.53 5.73 8.57 6.23 8.82 2.39 1.92 4.17 4.87 3 4.01 3.59 7.56 5.16
"31" 1.36 5.47 5.2 3.73 7.83 1.65 4.65 3.91 4.67 6.93 7.26 5.82 5.91 4.49 2.12 4.62 3.37 3.44 1.76 2.05 4.74 5.95 8.15 6.54
"32" 2.93 4.67 5.1 8.6 7.94 4.66 3.27 5.33 7.03 0.41 3.81 7.63 6.05 3.44 6.91 4.85 6.04 3.4 5.07 7.1 7.14 6 1.12 2.76
"33" -0.02 4.51 6.1 3.25 1.82 5.42 5.1 7.57 5.02 4.14 4.25 4.67 5.52 3.78 5.47 3.74 3.07 4.6 3.16 0.39 3.5 7.02 0.71 4.41
"34" 5.82 6.56 3.74 6.87 6.32 2.83 6.14 6.97 5.96 5.27 1.65 4.14 3.89 5.67 8.38 6.31 5.6 2.02 8.11 2.98 3.82 4.59 4.4 3.18
