"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16"
"1" 2.32 2.67 6.66 3.78 7.37 0.57 3.4 4.82 3.24 3.52 4.92 6.52 6.66 5.78 7.42 3.32
"2" 7.64 2.62 7.94 3.99 2.13 5.62 6.09 7.1 5.98 3.73 8.5 4.42 7.35 3.68 4.08 6.99
"3" 6.03 8.92 5.24 1.33 7.29 2.03 5.79 7.46 5.78 6.05 5.19 6.8 6.41 5.72 5.79 7.05
"4" 4.36 3.3 3.51 6.07 6.19 6.81 3.5 3.05 5.69 3 3.22 6.4 5.57 3.5 2.68 3.69
"5" 2.21 6.45 2.65 2.42 1.76 4.13 5.17 6.91 5.92 5.83 3.65 8.95 0.89 6.95 5.79 4.79
"6" 3.78 3.16 1.51 3.83 6.84 3.21 4.62 3.54 6.86 3.36 5.84 4.85 4.82 5.07 4.21 9.27
"7" 2.18 5.91 9.24 5.98 8.5 2.15 6.36 2.64 1.89 0.57 4.54 4.37 5.11 1.13 2.79 6
"8" 6.48 4.31 3.26 5.49 5.44 6.65 2.59 9.61 4.92 4.09 4.96 2.28 3.38 7.58 6.1 7.08
"9" 5.86 9.85 4.5 5.45 8.21 6.49 4.8 5.46 2.8 4.99 5.62 4.76 6.38 5.5 4.92 4.07
"10" 6.12 6.18 4.73 6.21 3.21 -1.07 4.13 2.37 6.74 2.55 5.27 6.86 3.77 3.17 4.16 6.25
"11" 7.03 3.46 1.67 2.86 6.83 7.91 4.47 8.45 3.93 4.95 7.88 8.42 4.5 4.04 6.85 6.63
"12" 0.49 6.08 2.93 5.19 5.34 6.51 2.25 5.29 6.16 5.11 5.6 7.07 2.93 3.18 6.79 3.71
"13" 3.12 4.07 6.23 3.65 4.96 5.31 4.5 7.11 7.16 6.79 4.61 9.38 4.64 6 2.77 8.17
"14" 5.28 5.18 3.63 7.99 3.2 3.21 2.51 4.01 2.38 3.1 5.55 7.82 8.15 5.54 4.98 3.2
"15" 2.01 8.41 4.68 5.77 3.13 4.41 1.98 1.62 4.47 4.92 5.27 7.85 3.38 4.89 5.12 3.52
"16" 2.44 4.94 6.89 4.34 9.3 3.92 6.81 4.91 0.19 2.87 3.58 4.7 3.36 5.93 5.75 6.84
"17" 7.4 3.54 7.28 2.44 1.93 6.92 4.5 4.86 2.94 1.46 6.8 6.46 3.89 5.69 6.15 2.52
"18" 4.57 5.27 1.19 1.16 4.93 0.64 5.27 5.27 3.91 5.74 6.26 4.4 8.05 4.89 5.11 3.41
"19" 6.72 4.77 5.96 4.79 5.53 0.03 7.44 8.23 5.29 5.66 4.75 8.71 4.2 2.96 4.69 3.73
"20" 4.34 8.45 1.82 5.76 4.7 7.73 5.32 2.96 5.1 8.91 4.96 5.37 2.4 6.11 6.46 6.16
"21" 5.54 4.07 5.48 4.48 0.77 3.55 0.55 4.22 7.24 5.87 7.91 3.66 6.74 3.37 9.31 1.05
"22" 2.33 5.12 7.78 5.28 5.58 6.51 7.16 4.18 2.05 7.04 6.98 3.14 6.75 6.99 6.23 7.27
"23" 5.57 5.27 5.88 4.37 4.98 4.89 3.85 6.95 5.24 4.61 5.78 3.73 4.66 2.81 0.65 1.05
"24" 3 8.26 4.19 7.44 3.16 6.98 4.79 8.2 1.92 8.43 3.74 6.1 6.4 6.16 4.98 7.52
"25" 7.3 6.26 3.4 6.52 3 2.64 2.89 2.42 3.06 8.28 5.58 4.64 5.29 10.84 2.54 4.57
"26" 0.8 3.93 7.83 6.51 6.51 9.31 2.24 4.95 5.01 5.3 7.24 8.65 8.59 4.77 4.61 4.53
"27" 4.41 7.95 2.06 5.06 4.26 8.68 6.47 3.97 7.09 5.07 1.52 4.52 4.99 5.89 5.14 6.02
"28" 3.19 5.38 8.23 6.62 9.73 3.92 6.41 6.24 5.09 4.77 3.11 5.25 6.08 5.54 3.14 4.9
"29" 6.9 2.2 3.51 5.92 2.91 8.17 6.29 5.08 5.65 5.28 4.57 4.51 5.06 2.63 4.72 3.87
"30" 8.04 4.94 1.15 6 3.98 3.43 4.66 4.81 6.31 5.38 6.75 6.11 7.09 2.68 3.98 5.58
"31" 5.49 5.52 4.18 6.66 7.22 4.25 7.03 4.59 3.34 3.23 3.35 5.22 3.52 4.76 9.5 6.82
"32" 4.2 5.05 6.67 3.31 3.03 3.45 5.42 6.93 6.62 2.28 3.19 2.05 5.04 4.76 0.12 3.63
"33" 0.11 4.98 8.61 4.79 6.1 5.95 2.39 2.64 4.15 3.31 0.33 6.69 2.56 8.11 7.15 4.75
"34" 3.95 10.06 3.76 6.88 6.58 5.89 4.51 4.49 6.09 5.58 7.77 1.68 10.17 8.23 7.37 5.53
"35" 2.39 4.29 4.69 7.24 1.96 5.55 2.56 3.27 3.91 3.87 5.21 4.76 4.09 2.54 2.14 3.55
"36" 3.11 7.66 5.73 8.03 6.29 4.1 4.42 5.05 3.44 2.49 4.69 4.69 3.16 3.81 5.26 2.88
"37" 6.28 5.39 6.95 4.89 4.9 8.34 4.83 7.28 5.8 1.22 3.63 4.52 2.3 3.72 3.45 7.08
"38" 4.8 5.12 6.04 2.98 2.73 1.52 7.33 3.61 4.65 2.35 6.95 7.34 8.33 6.22 6.37 5.23
