"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26"
"1" 6.45 -1.1 5.03 4.86 3.76 4.85 8.52 6 5.51 8.18 6.79 3.41 2.44 5.24 7.13 2.4 0.84 5.05 6.08 4.44 9.11 4.37 4.65 3.26 6.54 3.82
"2" 1.53 3.64 6.3 3.92 3.31 4.91 4.72 2.7 5.34 3.69 6.98 1.81 3.33 5.3 4.91 5.58 4.75 3.46 2.45 3.97 3.8 2.9 3.3 2.99 4.64 5.44
"3" 0.48 2.3 6.68 1.24 5.18 7.85 4.37 6.98 2.68 4.73 5.14 4.17 7.04 5.33 5.33 7.58 3.13 5.81 4.3 1.68 7.53 8.51 7.21 8.38 7.38 4.13
"4" 3.57 4.12 6.7 6.62 7.56 1.87 7.12 9.62 5.56 5.69 7.04 3.12 7.56 6.49 4.25 4.03 6.43 9.35 6.41 4.46 5.05 7.68 5.42 8.12 3.03 8.12
"5" 6.49 7.78 5.93 6.98 4.52 7.25 4.93 7.3 5.63 3.23 6.69 4.1 6.69 3.09 2.82 7.5 2.17 5.39 4.08 3.06 3.53 5.16 6.07 6.27 5.09 5.51
"6" 5.07 3.57 5.16 3.43 6.34 1.78 6.69 9.87 6.29 7.93 5.38 7.19 4.23 4.78 6.11 4.51 6.77 5.08 4.07 5.6 2.32 1.98 3.8 5.14 4.08 1.82
"7" 7.46 -0.18 6.5 3.04 0 4.61 4.24 8.12 5.12 3.89 9.52 2.99 4.11 2.63 2.34 5.16 5.99 6.56 6.66 7.23 2.03 2.66 3.94 4.98 5.53 6.4
"8" 6.78 1.26 5.41 7.11 5.75 6.26 3.11 5.13 7.11 5.37 3.76 4.08 2.29 2.19 3.95 3.3 5.22 4.38 7.18 8.7 1.38 5.27 2.89 5.3 8.18 6.99
"9" 4.68 4.7 2.13 4.46 5.47 6.28 8.86 5.66 9 3.81 3.6 3.75 5.36 4.7 5.46 2.53 4.44 8.83 6.55 5.53 6.33 5.89 5.62 7.27 6.45 3.94
"10" 5.69 7.24 4.5 0.92 8.28 7.79 1.52 6.01 6.32 4.73 4.1 5.86 1.25 7.88 3.63 5.87 8.36 2.04 7.09 6.4 4.68 3.93 5.15 6.19 5.04 4.94
"11" 3.74 3.65 6.39 6.73 1.9 7.74 5.98 5.84 6.68 3.99 5.78 5.29 3.68 6.12 5.23 1.57 6.6 3.96 7.19 2.14 4.58 4.69 6.33 3.57 1.98 2.33
"12" 5.17 4.09 4.44 6.57 5.71 4.62 7.02 8.34 8.01 4.82 4.08 6.6 -0.3 3.66 9.06 3.45 4.47 2.92 6.3 3.44 8.75 1.29 7.62 2.87 3.07 3.57
"13" 7.46 5.78 4.08 4.84 3.44 2.39 6.23 3.64 5.71 2.81 8.44 5.35 4.5 6.4 5.98 6 3.6 3.44 3.84 5.6 4.99 5.44 5.42 4.57 5.43 2.25
"14" 9.18 3.22 5.17 7.49 1.93 6.21 5.22 3.44 3.99 2.73 0.64 4.71 4.06 4.02 4.25 5.83 7.1 4.71 3.71 -0.03 3.61 5.98 7.54 4.29 3.53 3.72
