"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29"
"1" 5.18 3.9 1.61 5.5 4.61 4.28 6.29 8.04 5.55 3.22 6.19 3.72 4.64 2.96 4.84 4.72 3.93 8.01 8.67 6.73 4.66 6.56 7.98 5.4 5.22 4.06 6.55 6.96 4.75
"2" 2.36 3.47 3.41 5.06 6.76 6.07 5.55 5.17 7.62 2.99 0.88 6.67 3.93 2.42 3.28 5.97 5.3 2.98 6.04 3.82 2.87 7.59 6.35 3.97 4.28 5.35 8.14 3.4 3.4
"3" 2.43 -0.93 1.89 5.23 2.22 4.82 3.78 6.67 3.41 10.04 6.23 5.29 7.99 5.33 5.04 4.12 2.39 2.5 5.22 6.21 3.88 2.99 1.23 4.08 3.5 3.34 3.98 5.53 4.71
"4" 7.56 10.8 4.41 6.08 5.28 1.63 2.74 1.1 5.51 4.5 5.65 6.24 6.65 5.92 6.12 5.15 2.74 7.32 5.54 4.75 6.59 4.72 3.68 4.87 2.34 6.61 5.64 5.42 5.76
"5" 5.07 4.41 2.13 1.84 4.84 5.49 7.02 6.19 5.73 1.97 7.21 2.6 6.47 5.31 5.09 1.2 4.68 4.03 1.81 3.26 2.39 5.03 1.59 3.56 7.87 6.24 3.29 5.34 8.51
"6" 3.75 3.81 4.59 1.67 3.45 6.53 8.54 7.86 5.68 2.26 7.38 5.54 2.93 4.23 3.46 5.93 6.4 7.32 7.84 6.84 3.01 5.07 5 3.11 1.95 8.11 8.9 8.9 6.27
"7" 4.93 6.85 6.68 3.61 8.01 8.65 5.4 3.75 5.45 4.93 4.8 0.67 8.35 3.57 1.6 5.78 2.13 2.92 3.75 4.93 5.84 5.55 5.58 6.1 6.91 8 5.97 6.66 3.06
"8" 4.68 5.14 7.71 7.62 5.43 2.76 5.23 5.75 4.49 0.65 5.96 4.36 6.92 5.18 6.81 1.84 7.61 5.61 6.71 2.44 7.08 4.84 3.96 4.01 5.52 4.86 4.37 5.19 3.95
"9" 6.25 3.55 4.14 6.77 5.93 5.65 2.76 3.33 4.68 6.21 6.8 2.4 7.05 3.89 8.65 3.59 5.68 2.89 3.44 3.89 4.96 4.23 2.43 6.27 4.02 7.22 2.17 2.49 6.01
"10" 8.19 3.52 5.29 5.13 7.42 9.52 4.02 5.11 4.91 7.39 4.72 4.1 7.49 6.37 4.05 6.06 0.91 6.69 5.49 1.2 6.33 4.65 4.83 4.05 4.55 3.54 3.7 7.75 8.33
"11" 6.56 3.29 6.75 3.95 4.67 4.19 8.47 4.19 3.34 5.62 6.47 4.65 4.57 8.23 1.06 2.21 9.17 8.39 1.36 4.26 1.84 4.9 5.02 6.22 1.05 5.06 2.9 6.03 3.47
"12" 6.3 6.71 5.88 6.22 4.58 6.23 3.39 5.23 4.16 4.48 4.1 4.83 4.7 6.36 7.44 5.4 2.94 5.24 3.61 7.21 5.6 5.4 1.67 6.23 8.38 4.94 5.54 7.34 4.77
"13" 6.72 2.61 3.93 7.56 4.97 6.26 2.85 7.16 7.74 3.86 6.19 5.66 4.23 7.65 4.58 5.68 5.14 5.27 5.54 5.77 5.42 3.72 5.08 4.34 4.87 4.84 4.46 6.51 1.84
"14" 3.49 7.12 7.94 6.15 1.88 6.95 4.49 8.57 4.81 6.82 6.82 4.91 5.62 2.81 3.63 4.81 4.35 2.47 8.27 7.9 5.23 6.03 5.87 8.52 7.27 8.13 5.39 3.94 4.08
"15" 2.26 5.51 4.24 4.26 4.02 5.45 5.25 7.51 5.66 5.41 5.81 6.27 6.17 2.16 2.76 8.1 3.44 4.4 0.9 6.26 4.92 7.91 1.22 4.62 5.88 1.52 3.39 3.45 5.63
"16" 6.24 2.15 6.3 5.42 6.01 4.98 3.35 6.95 5.03 5.99 4.82 1.61 6.02 7.72 4.96 5.25 5.21 7.03 2.99 3.3 1.15 2.24 4.06 5.91 4.56 2.13 6.51 2.81 2.16
"17" 1.78 -0.32 5.93 4.85 4.18 6.98 5.89 5.81 4.54 7.28 7.72 1.36 7.84 3.64 4.24 5.15 4.64 5.06 4.17 4.65 7.64 1.87 4.81 5.2 0.83 5.11 7.15 3.7 6.08
"18" 2.27 3.55 2.67 4.74 5.29 6.85 2.24 0.97 5.17 7.64 6.76 1.58 2.71 3.76 8.25 3.23 4.19 6.09 6.23 4.49 4.78 8.23 8.1 7.68 2.16 7.37 4.42 6.42 7.47
"19" 3.55 3.25 2.15 7.46 5.78 5.14 4.66 5.57 6.2 7.65 8.07 6.66 3.7 6.33 6.67 6.26 2.59 7.55 7.76 3.33 4.18 7.39 3.51 4.2 6.58 9.14 3.12 4.95 4.34
"20" 2.64 5.84 7.4 7.38 3.23 5.37 3.21 3.67 4.64 6.84 4.39 4.43 5.28 5.8 7.14 11.76 7.64 2.45 4.9 2.04 4.23 7.7 5.36 6.9 4.93 6.09 6.57 3.49 3.94
"21" 5.61 3.68 3.36 4.41 3.03 1.47 4.61 6.61 9.6 6.07 6.37 7.65 4.57 8.27 6.14 4.73 5.24 6.93 7.02 5.34 5.66 3.64 3.21 5.22 2.15 0.58 1.95 10.4 6.7
