"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33"
"1" 4.9 6.03 4.97 7.73 4.95 4.65 2.34 8.45 4.9 5.08 3.15 7.29 6.77 3.36 6.03 9.11 7.8 2.21 5.54 4.05 6.05 7.18 3.92 5.54 6.61 -0.08 2.41 2.12 5.7 5.22 5.31 8.24 6.67
"2" 3.79 1.98 7.05 2.95 4.4 7.7 5.68 1.74 6.8 4.5 4.57 4.57 1.56 1.17 6.49 5.76 4.67 6.42 5.18 4.03 0.79 6.39 5.95 7.75 5.46 5.2 3.39 3.88 5.05 5.53 6.91 5.64 1.67
"3" 8.54 5.58 8.69 5.62 4.03 6.46 6.25 10.59 4.36 4.92 5.8 5.46 5.61 7.55 4.12 7.18 4.76 5.25 3.12 6.02 3.36 2.07 1.38 7.57 3.5 4.81 5.11 7.23 7.48 5.32 4.59 4.65 4.62
"4" 7.58 9.85 6.5 9.02 2.89 5.46 2.47 7.97 4.04 4.35 3.98 2.73 7.31 5.31 3.88 7.91 2.31 2.31 7.07 5.57 4.36 7.18 6.45 3.59 5.56 5.15 7.88 6.26 3.59 4.54 9.51 5.79 4.06
"5" 2.91 6.93 3.62 7.09 6.48 5.2 5.24 6.84 5.08 6.58 5.12 8.72 3.82 3.34 6.63 5.79 5.26 2.19 3.04 4.14 8 8.38 5.15 3.38 5.4 4.91 8.02 6.81 5.58 8.17 6.94 4.1 2.45
"6" 4.69 7.25 5.15 5.41 2.51 -0.94 4.94 5.46 5.64 6.84 9.65 1.07 3.81 5.16 6.36 2.94 4.52 5.7 3.06 2.95 2.4 5.33 6.51 3.02 5.64 2.24 11.63 7.24 5.9 2.13 5.4 0.93 5.35
"7" 6.37 6.02 4.79 4.42 5.64 2.82 2.67 7.33 1.18 3.31 6.66 5.61 6.76 4.39 6.43 2.65 2.45 4.86 5.98 1.1 7.34 5.47 6.62 4.21 7.28 5.86 6.11 7.36 6.17 5.94 5.11 2.61 5.95
"8" 5.28 3.27 6.12 7.11 3.61 7.91 3.66 3.59 5.97 2.2 4.76 6.03 7.6 5.23 3.62 4.76 5.41 6.73 5.2 2.03 6.09 2.68 6.74 6.54 5.8 3.27 3.86 4.08 4.3 3.02 5.91 4.91 4.58
"9" 3.02 5.97 5.74 4.69 4.58 6.59 7.29 4.41 3.8 2.78 7.84 4.02 7.13 4.16 4.33 5.82 5.63 4.76 3.4 4.34 1.98 6.01 4.5 7.73 -0.64 3.22 1.65 6.21 7.46 7.94 6.78 5.07 5.38
"10" 3.23 3.36 6.86 7.4 5.1 7.56 4.24 4.62 4.83 6.52 3.84 5.83 4.13 6.11 0.16 6.6 6.38 4.36 4.46 7.77 6.98 1.5 4.18 6.03 4.17 6.88 6.91 6.68 5.95 4.87 7.42 4.76 5.74
