"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43"
"1" 2.85 6.34 6.22 4.71 7.62 8.75 3.72 2.64 6.09 6.27 4.1 2.74 5.1 3.74 5.95 5.17 2.18 2.98 3.91 3.4 7.74 1.69 3.13 5.98 3.09 5.35 3.24 8.63 8.23 7.03 5.72 2.38 7.52 4.98 0.7 6.57 2.89 5.31 7.67 3.8 5.75 2.86 7.2
"2" 4.56 2.46 2.48 6.6 8.41 5.47 4.23 3.45 1.98 8.2 3.15 9.03 5.23 4.79 6.19 8.22 3.72 2.81 4.01 2.64 1.93 3.33 5.8 6.76 6.88 4.78 5.57 7.41 5.42 4.2 4.13 3.65 5.82 6.39 5.37 7.79 9.29 4.99 2.84 5.51 1.84 3.09 7.55
"3" 6.21 4.1 1.93 4.07 4.62 5.56 6.62 7.07 1.75 7.56 6.46 7.91 8.25 5.76 5.17 6.62 4.92 3.39 4.94 3.6 3.98 2.94 4.3 4.89 4.62 1.64 4.53 3.83 5.26 6.71 8.12 3.99 4.69 4.1 6.4 3.94 2.69 3.45 3.83 5.66 2.69 3.75 4.31
"4" 7.43 3.65 8.74 4.58 7.74 5.81 7.76 6.46 4.51 6.49 4.43 5 4.22 4.24 2.45 3.73 5.74 2.53 2.32 6.35 4.55 4.85 5.64 5.48 6.88 5.31 6.43 2.93 6.09 7.66 7.99 4.96 3.56 1.01 1.97 4.69 3.33 2.77 5.13 6.17 3.3 5.32 6.28
"5" 5.97 8.43 5.5 3.1 7.45 2.61 6.93 6.77 6.19 6.55 7.29 5.1 7.55 5.32 7.5 6.23 6.61 5.5 9.3 6.47 4.03 5.91 8.09 5.61 4.85 3.7 7.35 5.87 3.51 5.89 2.99 9.92 8.69 7.26 8.32 3.63 3.32 8.96 4.58 5.32 7.39 3.68 8.66
"6" 6.39 3.76 5.8 4.65 3.97 4.21 4.3 5.78 2.45 7.42 5.07 8.2 5.65 4.52 6.08 2.05 3.05 1.64 8.61 2.17 8.57 2.28 3.5 4.41 6.77 5.75 3.55 2.96 4.42 4.85 3.58 4.93 3.61 5.54 6.51 6.52 4.29 8.02 6.34 5.16 4.29 4.26 7.2
"7" 2.36 6.05 8.43 8.14 7.48 3.3 4.26 5.58 5.57 7.52 6.06 4.09 2.93 7.71 4.46 3.04 8.18 5.69 6.39 6.03 6.7 6.6 5.09 7.88 7.56 7.23 8.77 6.16 5.18 3.35 3.46 2.39 1.65 5.59 4.43 6.38 2.94 4.53 6.49 6.56 2.69 2.8 2.93
"8" 3.45 0.89 1.91 6.48 2.28 3.97 4.45 6.07 5.06 3.99 3.06 4.1 3.88 6.19 5.36 5.59 7.08 5.81 4.47 6.05 4.06 8.33 6.95 8.57 3.37 4.22 6.42 5.32 3.16 4.99 5.43 6.07 5.55 7.9 4.91 3.04 5.04 6.42 5.52 -0.68 8 2.37 7.16
"9" 3.58 1.1 6.31 5.79 3.23 2.74 3.91 8.49 4.7 6.33 4.99 8.22 7.3 7.12 3.62 4.8 8.38 5.44 4.55 7.49 1.08 1.06 9.52 2.61 5.76 4.28 4.91 3.77 3.9 6.16 4.25 3.8 4.08 5.17 6.43 2.19 4.83 9.45 4.17 3.86 7.59 6.53 4.59
"10" 6.26 4.29 5.77 1.95 4.36 3.88 3.3 3.5 4.86 4.9 5.75 4.12 3.35 4.55 4.91 2.7 3.9 3.62 6.04 4.14 5.18 5.87 6.26 6.9 6.51 5.46 1.9 5.48 6 4.81 4.55 10.26 5.27 6.54 3.23 4.73 1.9 3.66 7.75 3.2 2.37 4.07 3.06
