"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48"
"1" 3.91 4.54 6.89 7.34 3.71 5.52 2.54 5.09 2.75 6.54 2.29 2.39 7.82 7.84 4.93 4.9 4.42 5.2 2.09 1.52 2.69 2.12 4.54 3.1 7.32 8.72 5.44 6.11 4.53 5.29 3.76 4.66 8.59 6.32 4.45 5.67 5.08 3.74 4.9 7.53 3.58 3.67 1.41 7.72 7.22 4.29 5.27 3.09
"2" 2.68 4.84 4.95 5.64 2.91 7.65 5.11 0.48 4.32 6.15 5.97 5.91 4.87 5.79 6.61 4.8 8.54 7.81 6.27 11.32 1.04 3.94 7.61 8.62 7.05 4.35 3.06 7.18 6.33 3.93 6.23 5.2 6.31 6.61 5.03 3.61 2.19 3.6 1.4 3.1 2.41 3.94 6.6 4.88 2.21 3.74 4.95 5.57
"3" 5.89 4.85 6.65 7.35 6.48 7.26 5.68 8.24 2.87 9.38 4.54 3.84 4.68 6.49 7.78 3.6 2.22 6 2.25 6.22 5.84 3.53 7.06 4.5 3.39 8.03 2.51 5.72 3.81 11.48 5.3 2.16 4.6 2.22 3.35 5.72 6.06 2.51 5.98 9.29 2.69 3.74 5.1 3.39 -0.38 11.47 4.37 2.39
"4" 5.08 5.15 4.04 3.95 2.47 5.79 7.03 5.32 4.18 8.04 3.33 3.28 5.2 4.04 8.27 2.36 1.23 3.4 5.75 5.06 4.92 6.43 1.67 8.38 4.83 2.06 5.47 5.2 3.43 6.92 4.88 8.49 5.64 1.46 3.91 3.15 4.74 6.87 3.7 5.87 6.2 6.16 6.55 4.29 3.45 6.39 3.96 4.59
"5" 7.23 1.21 9.6 6 6.49 3.47 4.74 4.92 4.15 2.59 8.36 7.81 3.28 4.27 2.06 6.57 5.15 6.2 2.62 2.09 3.23 4.04 6.76 2.55 2.84 8.53 4.86 4.82 2.38 6.37 6.73 7.35 5.12 4.42 4.57 7.64 6.06 4.4 6.76 4.59 3.51 5.23 4.49 1.72 4.97 6.92 3.76 3.51
"6" 6.37 1.74 3.15 5.5 3.69 8.52 2.73 1.94 3.68 5.3 8.12 3.02 2.66 5.22 6.12 5.27 3.33 7.23 3.59 3.42 4.28 4.51 3.98 2.96 4.49 4.84 2.6 4.99 5.51 4.91 1.84 5.25 2.3 2.67 6.08 5.38 2.6 2.24 4.36 3.14 1.58 6.12 2.34 9.72 7.36 4.71 1.95 4.39
"7" 3.47 4.92 4.32 3.87 0.28 6.69 5.71 7.06 8.19 6.75 3.1 3.58 3.67 6.21 1.24 5.64 3.26 4.74 3.19 3.34 4.57 4.82 6.51 1.17 7.04 3.98 8.99 3.96 0.33 4.83 5.41 4.03 4.48 3.07 2.79 2.53 7.89 2.39 5.22 3.81 3.28 3.63 6.82 3.06 6.98 5.52 2.56 4.7
"8" 5.5 4.72 4.22 5.9 2.79 5.21 4.91 9.17 6.32 4.09 5.9 4.73 5.51 4.65 3.1 4.82 6.33 3.84 10.31 3.68 4.33 5.57 5.24 7.68 4.3 1.33 3.76 6.99 2.65 6.78 7.93 4.01 4.23 4.48 6.33 4.43 4.15 3.89 4.49 3.62 5.19 5.58 2.82 6.12 2.71 2.06 5.39 3.28
"9" 0.99 7.48 5.72 3.47 2.88 7.43 5.56 7.63 8.54 2.25 1.64 2.08 3.2 4.43 6.44 4.04 5.8 6.5 5.2 6.49 5 1.13 3.83 7.91 5.12 3.41 3.94 4.9 4.46 4.23 3.71 5.5 4.97 3.31 4.45 2.44 3.77 4.75 5.57 1.13 5.14 3.71 3.26 5.01 3.89 4.47 3.69 4.39
"10" 3.53 8.62 7.33 7.44 4.75 5.29 2.89 3.42 6.32 3.99 7.1 6.68 8.01 5.68 2.54 4.87 3.42 -0.12 5.85 5.68 6.04 7.32 5.3 4.01 5.08 5.16 2.1 2.29 3.24 7.47 7.82 6.03 8.28 4.71 6.12 5.63 8.88 4.29 7.92 4.06 3.46 1.61 5.04 5.53 6.69 3.02 4.83 6.52
"11" 6.58 5.5 8.98 4.81 3.82 8.48 6.43 4.71 9.12 5.78 5.78 3.62 9.94 8.09 3.91 0.51 5.2 4.01 3.63 0.65 1.95 7.1 8.91 3.06 1.5 5.69 4.71 6.41 -0.17 3.47 6.51 5 3.56 11.2 4.87 3.22 9.45 4.28 4.41 5.99 6.46 2.23 6.76 8.1 3.13 5.42 2.83 6.94
"12" 6.47 6.88 5.23 2.15 4.21 3.28 6.42 5.42 6.19 4.66 0.23 5.77 5.19 6.55 3.6 5.38 0.06 3.34 6.82 4.12 5.2 6 4.19 2.41 3.11 2.98 6.33 -1.14 6.44 6.54 4.74 4.16 6.14 3.4 5.18 5.91 5.74 6.11 6.85 5.85 5.26 5.87 8.43 3.68 4.53 7.17 5.87 7.33
"13" 5.3 6.09 3.77 1.37 3.84 4.78 0.44 5.2 7.37 3.29 4.11 0.24 4.38 2.18 7.06 4.88 4.65 6.42 0.7 6.57 3.24 3.9 6.17 4.31 8.43 5.45 5.06 4.52 3.57 1.72 0.17 5.92 2.58 3.5 6.73 4.48 4.09 2.68 6.23 6.45 3.03 8.65 4.59 3.65 4.25 1.6 5.43 6.42
"14" 5.71 4.39 5.27 7.61 3.63 7.01 6.12 3.25 6.23 6.15 2.42 4.99 7.17 8.5 5.83 3.79 5.97 2.49 4.35 7.05 8.16 4.27 7.25 8.22 3.05 3.2 5.46 6.06 4.56 6.04 7.14 5.4 3.64 3.84 7.24 7.23 3.29 4.08 6.04 6.73 6.78 5.67 6.27 4.93 5.35 5.47 5.73 5.23
"15" 3.84 4.48 4.68 5.34 4.29 4.86 6.35 5.2 7.3 5.58 8.13 7.79 5.16 3.23 2.86 1.6 5.42 5.68 5.75 7.59 8.44 9.67 6.83 10.51 4.26 8.59 8.01 3.48 4.51 4.54 5.18 4.17 7.08 1.42 6.8 5.42 5.71 5 5.98 3.95 6.49 5.7 4.03 8.46 5.06 3.61 2.51 3.82
"16" 5.99 5.4 5.26 3.89 3.28 3.95 6.27 5.71 8.51 4.58 1.07 5.78 3.42 6.46 5.03 4.76 6.33 4.85 4.74 5.5 5.29 8.35 4.79 6.3 6.17 6.09 5.06 5.37 4.69 3.31 2.99 4.82 1.91 5.74 3.88 6.29 6.37 5.79 4.3 5.75 2.82 5.13 7.85 3.61 3.47 7.35 3.55 2.91
"17" 2.93 2.96 2.45 4.81 1.48 4.24 4.35 6.58 3.18 4.86 5.2 4.87 0.96 8.17 5.15 6.71 6.24 4.37 4.1 8.03 4.59 5.65 4.81 -0.04 5.38 2.95 3.94 4.56 1.3 4.09 1.66 6.73 7.36 5.72 6.02 1.35 5.75 6.28 4.77 4.91 4.94 6.42 5.85 3.91 3.81 5.06 7.04 3.65
"18" 5.53 4 5.75 4.14 6.12 4.59 3.25 4.71 6.68 2.48 3.52 7.26 3.67 3.35 5.45 4.42 6.92 2.18 3.74 7.81 5.41 5.5 0.75 5.94 6.02 7.53 6.87 5.48 5.32 2.62 5.82 6.91 3.11 5 7.32 0.65 4.88 4.55 6.45 4.25 4.2 2.2 0 5.76 2.34 4.28 5.16 6.43
"19" 4.98 4.97 8.48 2.13 1.44 3.13 5.73 6.22 6.87 8.06 5.85 6.75 7.16 5.03 5.02 8.52 5.58 1.73 5.99 6.77 9.61 5.5 7.07 4.79 5 4.26 4.92 8.73 6.34 4.45 3.37 5.08 5.97 3.68 3.25 5.97 1.48 4.57 4.7 2.18 2.02 4.77 4.59 2.3 1.86 5.5 8.64 0.76
"20" 5.08 3.19 1.56 0.65 8.97 6.51 3.46 6.52 4.4 7.02 4.63 5.64 4.41 4.18 4.61 4.43 3.17 6.94 3.07 4.55 3.85 3.38 3.28 5.63 3.75 6.18 5.47 3.38 4.75 3.71 5.49 4.44 3.52 7.54 4.27 1.78 8.03 8.61 4.97 6.26 5.18 6.7 3.89 3.43 2.92 2.96 3.27 3.77
"21" 2.8 0.92 3.26 4.2 3.84 3.83 1.47 7.43 5.44 2.63 6.64 5.04 7.19 5.59 1.85 10.6 12.32 10.66 3.13 4.98 7.41 3.62 7.5 6.8 1.44 6.4 4.71 3.17 6.83 6.51 8.05 2.22 7.05 3.58 3.74 1.7 7.06 3.48 3.7 5.2 3.72 2.07 2.42 6.4 6.94 4.71 2.3 1.55
"22" 5.32 2.74 4.77 6.95 0.58 7.38 6.43 6.25 3.09 1.92 3.58 5.77 3.61 7.82 7.38 5.5 4.24 2.48 7.38 5.26 6.48 3.39 5.65 8.16 5.52 4.6 4.56 6.2 3.03 3.58 6.12 8.85 4.18 3.4 4.45 3.75 4.12 3.41 3.06 6.54 6.67 4.55 6.34 4.19 4.74 4.54 3.05 3.94
"23" 4.21 8.1 6.28 4.63 3.46 5.83 6.55 3.6 4.64 3.9 6.11 0.51 6.72 7.16 6.4 2.38 6.67 3.03 6.72 10.46 5.74 5.79 6.93 5.66 3.58 4.39 5.72 6.46 3.4 6.14 6.42 10.43 5.13 7.29 7.06 6.34 7.15 6.22 4.11 6.87 5.36 3.05 9.14 10.97 4.23 8.57 3.09 5.95
"24" 3.17 4.48 3.6 2.39 4.93 6.13 7.31 2.92 3.33 3.84 4.97 5.59 5.91 7.35 2.93 4.27 7.3 5.62 7.44 8.61 8.56 8.34 5.34 7.28 3.28 4.82 7.06 1.17 6.54 2.71 4.82 6.15 5.33 5.87 4.77 5.62 6.77 7.53 4.91 6.39 4.24 2.83 5.93 3.57 2.93 9.81 6.75 5.54
"25" 2.66 1.95 2.97 4.5 4.94 5.95 3.36 6.26 5.71 4.78 3.8 4.61 4.2 6.56 5.71 2.06 5.43 5.27 5.11 4.2 7.19 4.75 5.17 6.3 5.13 4.73 1.55 4.66 3.95 6.36 4.47 2.9 6.58 4.73 5.76 0.5 7.48 3.06 3.86 6.71 7.06 4.1 5.44 4.21 3.89 4.44 4.52 4.8
"26" 6.41 7.93 4.82 3.27 7.37 3.51 4.81 5.83 6.87 8.78 3.57 5.84 1.89 5.18 3.92 1.09 5.28 3.37 3.29 3.02 2.37 3.38 7.89 4.93 5.95 7.84 8.35 5.22 3.05 1.97 6.21 6.41 7.63 5.13 3.5 4.89 8.95 7.55 2.73 3.61 3.79 3.06 6.82 6.99 8.59 6.59 0.21 3.55
"27" 3.67 5.24 3.69 3.5 5.1 4.54 5.53 6.87 7.11 6.7 6.94 6 6.81 4.71 4.79 4.12 3.47 6.77 5.42 4.83 0.85 4.97 5.16 7.85 5.05 2.12 5.58 3.97 4.41 0.71 7.55 1.04 6.03 5.08 6.84 2.64 4.21 3.84 6.95 4.72 4.94 3.61 1.79 5.85 6.53 3.4 1.53 5.55
"28" 8.75 4.34 6.22 6.24 5.01 8.25 5.74 4.49 6.93 4.66 6.54 4.27 5.9 4.29 1.5 5.28 4.83 6.37 7.1 7.17 5.4 5.21 3.45 6.86 4.11 2.72 7.79 6.08 3.67 2.41 5.27 7.25 8.88 4.05 4.24 4.85 8.3 3.58 3.95 3.49 4.99 3.12 7.64 3.83 6.32 11.45 4.39 3.11
"29" 6.86 4.97 6.32 2.67 7.35 4.99 3.85 5.25 5.98 1.2 5.28 7.89 5.27 4.18 3.49 1.83 6.51 1.7 6.09 3.3 2.4 3.31 5.32 3.47 3.22 8.65 4.54 6.63 8.07 6.81 6.86 6.41 3.03 2.05 4.28 7.29 3.97 3.36 4.82 6.44 5.84 7.57 6.8 5.34 1 5.5 5.74 6.59
"30" 5.7 8.61 6.4 4.01 3.83 2.59 5.03 8.34 4.91 5.04 6.81 7.14 7.91 6 6.27 2.35 7.93 1.11 5.89 7.07 8.65 9.91 0.56 6.19 5.81 5.91 5.78 9.18 4.04 3.47 7.02 7.49 4.4 4.29 8.36 2.85 5.73 9.36 4.12 7.92 8.92 3.8 4.95 6.56 2.96 6.15 7.05 5.23
