"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20"
"1" 5.47 4.33 3.83 6.51 6.51 8.18 7.41 5.94 2.9 3.33 5.59 3.2 4.5 5.98 1.64 4.85 4.82 6.64 5.94 5.49
"2" 3.93 3.36 4.47 3.27 7.11 2.26 4.86 5.04 3.47 6.11 3.16 0.57 2.97 3.28 2.65 5.19 7.05 4.08 7.78 5.07
"3" 6.51 7.19 3.61 6.6 3.65 10.99 5.13 6.52 5.34 3.98 0.31 4.59 4.3 4.49 2.38 8.22 3.18 5.49 3.52 -0.97
"4" -0.53 6.46 4.38 6.7 3.32 4.37 3.17 2.36 4.45 7.33 4.44 4.16 5.29 3.33 4.78 6.04 4.66 6.01 6.78 3.62
"5" 3.21 7.47 6.07 6.36 6.28 7.46 9.81 5.66 3.26 1.64 4.94 5.94 5.2 10.89 3.04 8.85 4.06 4.79 2.08 11.01
"6" 7.37 5.27 4.54 7.94 0.15 3.64 3.05 3.93 3.37 2.79 5.08 6.06 4.78 1.64 5.52 4.29 0.95 9.07 4.38 4.84
"7" 5.18 3.24 8.79 2.95 5.8 2.03 2.77 6.42 3.67 8.96 4.08 8.6 2.09 3.95 1.78 6.91 5.01 8.01 3.03 4.34
"8" 4.03 5.35 6.46 6.9 3.1 5.29 5.17 6.36 3.87 5.44 8.28 4.5 7.29 7 3.97 4.38 1.93 2.83 8.53 7
"9" 3.2 3.98 4.23 1.12 4.84 2.95 3.86 3.27 5.72 7.5 7.91 2.55 2.45 4.24 4.53 3.77 6.41 2.39 5.99 7.29
"10" 6.6 3.43 7.23 3.91 4.11 3.92 4.78 7.9 7.13 6.07 3.74 2.94 7.35 4.08 4.22 7.02 4.17 4.69 2.32 6.22
"11" 8.36 3.86 3.17 2.31 6.71 7.73 10.38 5.24 2.97 5.87 2.37 5.33 5.33 7.33 4.18 3.47 6.88 5.19 4.83 7.3
"12" 7.47 6.79 5.9 5 2.86 3.86 5.52 8.2 4.45 2.59 4.06 5.17 2.62 7.14 1.41 7.06 9.7 2.8 2.88 10.1
"13" 5.41 6.05 6.73 3.37 6.75 3.01 6.61 5.15 4.11 6.33 5.11 5.08 5.51 5.39 1.71 6.9 2.97 3.23 7.83 4.04
"14" 7.09 3.7 5.69 5.91 8.92 3.93 4.52 5.08 4.06 5.66 7.76 1.42 5.41 4.9 9.09 1.53 6.43 4.85 2.72 3.98
"15" 3.16 3.11 7.64 5.62 6.15 5 4.25 6.26 2.74 0.49 8.69 6.5 6.38 5.62 3.56 8.63 4 2.84 3.73 5.52
"16" 6.02 3.74 8.45 2.67 3.32 6.22 4.17 8.43 4.41 7.45 3.62 7.55 5.25 6.6 4.4 5.26 5.16 4.72 6.83 4.91
"17" 3.62 7.27 2.84 3.42 9.77 2.82 2.42 3.59 5.16 6.65 5.54 3.13 5.69 6.68 7.09 1.75 4.52 7.27 4.29 7.24
"18" 5.32 1.99 1.6 2.83 3.52 6.32 5.41 6.75 6.56 9.18 9.19 2.98 4.37 5.42 2.91 7.65 6.36 6.78 2.04 1.09
"19" 4.88 8.48 3.13 5.07 4.21 4.66 5.12 4.99 2.83 3.02 5.72 2.98 3.29 4.54 4.26 -1.18 7.88 5.15 5.01 3.34
"20" 2.15 4.71 5.56 2.06 5.95 8.28 6.3 2.06 4.28 3.13 5.35 6.93 2.95 5.03 3.4 6.8 3.86 6.24 5.14 -1.15
"21" 6.13 4.31 2.1 5.42 3.63 5.5 6.13 5.55 6.99 5.74 7.77 5.11 5.4 6.56 6.24 9.28 3.06 4.42 8.25 6.01
"22" 4.81 4.28 6.02 4.73 6.17 4.79 3.47 7.03 3 8.12 4.84 1.85 4.65 4.47 5.98 3.89 5.34 2.71 3.48 7.36
"23" 5.21 4.42 4.65 3.39 6.26 6.34 3.95 5.89 6.31 7.1 0.85 3.48 5.04 3.84 5.89 11.1 9.54 7.17 6.03 6.18
"24" 5.29 3.49 5.75 8.37 3.83 4.59 3.95 6.8 3.17 3.24 6.23 4.95 8.34 2.6 5.8 4.84 6.47 5.01 7.12 5.07
"25" 4.08 4.88 -0.69 4.8 6.81 5.4 3.44 3.32 3.46 5.98 4.8 3.75 2.03 3.34 4.83 3.98 6.72 4.96 3.11 7.24
"26" 5.38 5.13 3.63 2.52 7.26 5.16 6.2 8.5 6.69 2.03 5.29 5.84 2.35 7.86 6.21 6.81 1.4 4.68 6.37 7.39
"27" 8.04 6.68 -0.11 4.9 3.92 7.64 2.23 4.38 6.81 4.22 5.73 1.01 6 5.48 3.61 3.98 0.91 7.52 5.7 5.46
"28" 4.35 1.78 3.9 6.25 -0.4 3.18 4.27 3.74 3.61 4.79 6.15 6.58 4.28 6.36 1.97 6.87 1.52 4.18 3.72 4.75
"29" 5.78 2.71 -0.29 8.37 5.22 5.43 4.05 4.81 5.1 6.57 5.85 3.85 5.53 3.24 6.41 4.83 2.17 6.18 1.36 1.58
"30" 7.59 2.96 5.79 2.64 4.6 4.71 3.88 6.98 3.49 4.65 8.05 3.75 6.4 2.63 7.51 2.91 5.1 3.84 5.85 0.95
"31" 4.03 5.16 5.3 7.88 3.77 6.31 4.76 7.62 4.35 4.08 5.62 5.71 7.58 -2 2.36 5.28 10.24 4.6 5.75 3.37
"32" 0.87 4.46 4.8 11.06 3.2 6.26 8.67 6.3 6.54 1.95 4.32 4.67 2.55 3.6 1.52 2.65 5.13 2.6 5.15 4.78
"33" 2.26 7.37 5.8 3.45 9.1 1.77 8.11 3.26 5.19 7.94 5.83 5.52 7.46 3.32 6.17 4.37 6.91 5.08 5.61 8.49
"34" 7.15 4.96 3.66 2.63 7.08 2.09 2.19 7.77 5.21 5.53 8.02 6.7 8.93 8.61 0.89 4.96 7.45 8.12 1.98 7.43
