"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 4 4.75 9.82 6.62 5.56 9.16 6.16 2.81 4.54 4.3
"2" 4.65 5.32 6.64 1.59 1.23 3.29 1.28 6.49 4.82 3.32
"3" 2.61 4.29 2.44 3.29 6.28 6.97 3.79 1.83 3.81 5.28
"4" 4.44 4.35 6.08 4.99 5.05 5.28 6.4 2.91 4.75 5.19
"5" 1.46 7.37 5.85 3.84 4.39 5.68 8.51 5.31 4.56 5.94
"6" 4.35 6.12 7.58 5.01 3.03 5.17 5.6 4.75 7.59 4.44
"7" 3.64 2.21 4.72 -0.07 5.1 1.37 4.41 3.21 9.28 6.31
"8" 5.14 4.03 6.43 0.79 2.85 5.56 5.07 3.1 6.95 1.37
"9" 5.69 6.35 8.5 2.71 6.16 5.61 1.92 3.36 4.52 4.32
"10" 4.73 5.81 6.23 6.46 6.59 6.23 4.41 4.86 4.43 2.54
"11" 4.8 4.79 6.64 -0.19 5.49 7.86 5.04 2.83 4.58 2.04
"12" 4.37 5.63 3.78 4.48 7.7 5.77 6.03 5.52 4.16 4.02
"13" 9.16 5.15 5.32 3.39 2.49 -0.78 4.01 3.96 5.17 3.82
"14" 6.09 2.76 3.74 3.91 3.64 7.28 3.87 7.2 6.98 5.84
"15" 3.35 5.75 1.89 5.51 7.25 3.67 5.78 0.28 4.17 4.08
"16" 6.57 6.67 3.74 6.04 6.56 5.15 5.65 5.92 6.1 5.68
"17" 4.05 5.14 3.09 6.42 2.22 4.93 3.26 2.64 3.53 7.06
"18" 1.42 7.51 10.3 2.57 5.26 5.69 8.78 1.84 5.22 4.53
"19" 0.45 4.76 6.41 5.44 5.05 7.31 5.5 5.1 3.58 6.55
"20" 3.77 5.3 4.13 6.14 3.55 6.59 3.22 6.76 2.3 6.53
"21" 3.63 10.71 3.63 6.08 0.45 4.71 6.15 5.8 5 3.89
"22" 2.65 4.3 5.55 3.7 3.95 4.16 7.88 1.59 3.68 7.04
"23" 7.91 5.7 5.83 5.2 6.21 6.25 4.84 4.12 7.66 0.57
"24" 4.74 7.7 3.96 3.48 5.97 4.61 4.27 5.65 4.32 7.27
"25" 3.75 4.2 2.28 2.57 5.36 7.82 6.02 3.12 3.3 1.84
"26" 4.37 3.76 2.8 3.81 5.85 7.79 5.39 8.48 5.47 3.48
"27" 1.92 8.35 6.58 4.75 2.46 4.75 3.34 4.73 5.2 5.32
"28" 5.77 8.07 4.63 3 7.13 4.92 6.15 5.51 5.67 6.21
"29" 9.22 5.06 2.7 3.91 5.57 3.87 5.33 4.32 7.31 5.99
"30" 4.69 5.84 5.4 6.08 4.66 3.06 2.46 4.62 3.32 7.38
"31" 5.38 5.02 4.38 1.95 8.24 6.17 4.99 4.21 4.56 2.72
"32" 5.43 6.63 3.6 3.38 2.73 8.31 2.67 5.96 4.61 1.12
"33" 3.59 2.45 4.42 4.29 4.64 2.83 2.97 3.63 6.77 5.5
"34" 3.04 7.67 6.25 3.34 8.52 1.98 6.95 3.2 7.62 3.23
"35" 5.13 5.05 5.21 4.12 0.52 4.4 6.11 3.75 4.73 5.33
"36" 5.16 4.76 4.24 4.1 4.11 3.76 7.81 8.96 6.51 4.52
"37" 5.95 6.94 6.85 5.97 5.96 3.81 5.88 4.65 1.17 6.6
"38" 3.32 4.23 2.35 3.38 8.15 4.04 7.24 3.32 -0.15 1.41
"39" 3.65 7.58 3.85 2.49 3.49 4.41 8.13 0.01 4.93 5.65
"40" 5.67 2.53 5.02 5.27 4.06 5.2 4.13 5.68 7.94 4.05
"41" 2.95 0.98 5.57 6.34 5.38 5.6 2.86 5.76 4.18 5.09
"42" 5.36 5.34 3.92 5.78 5.37 6.01 3.06 5.07 4.47 4.95
"43" 7.38 4.13 0.34 3.25 7.16 2.84 5.19 4.24 5.72 7.44
"44" 9.98 10.26 4.78 2.23 1.91 4.22 0.51 4.32 2.28 6.02
"45" 5.03 3.98 2.59 3.13 7.31 5.1 1.67 4.98 1.96 1.49
"46" 6.21 5.22 4.4 4.06 3.93 2.71 3.31 4.12 4.83 4.56
"47" 5.75 3.82 1.87 3.02 5.91 3.73 4.3 6.69 5.63 7.06
"48" 6.55 5.8 5.43 5.41 9.06 3.41 8.71 9.29 4.8 -1.09
"49" 8.77 4.67 4.7 3.72 8.16 1.83 5.15 7.44 6.31 4.12
"50" 4.49 6.17 6.32 7.12 3.11 5.31 4.49 4.7 5.73 4.5
"51" 3.92 6.19 3.37 8.94 6.8 9.54 2.96 1.94 5.57 8.24
