"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43"
"1" 7.32 4.17 4.92 4.76 4.8 1.77 2.1 6.85 4.65 4.75 2.13 6.27 4.71 3.81 6.52 4.45 1.57 6.64 6.24 5.7 4.66 3.3 2.53 7.67 4.65 9.87 4.39 4.47 4.95 4.72 5.81 5.61 5.95 5.86 6.61 4.2 2.82 10.5 5.27 6.61 6.83 7.51 2.09
"2" 0.77 1.5 4.14 7.59 4.48 10.3 8.26 4.18 6.72 7.54 5.82 7.25 4.95 4.98 6.8 8.85 6.52 4.39 6.3 0.45 1.83 2.05 4.85 7.01 5.18 7.34 3.57 3.51 6.71 6.39 5.98 2.18 2.06 6.52 8.08 6.6 4.66 3.88 5.46 6.47 6.91 5.46 3.23
"3" 2.42 5.21 4.79 7.97 3.98 3.04 8.12 3.23 6.23 5.5 3.59 2.63 6.67 2.1 6.37 4.91 5.19 7.08 6.79 4.05 1.44 3.53 4.54 3.9 4.53 4.03 3.69 5.13 1.8 6.01 5.46 3.69 8.33 5.98 6.6 6.78 6.38 8.63 4.08 5.24 2.44 10.87 3.8
"4" 1.69 2.73 4.14 5.6 4.97 6.25 4.58 3.9 4.76 4.35 1.99 3.51 5.33 6.16 2.71 6.04 5.91 6.65 4.95 6.65 6.31 5.66 5.44 3.74 3.21 2.45 4.49 5.55 6.82 4 5.53 4.31 5.48 5.94 5.87 7.69 5.37 7.38 5.23 4.73 2.59 6.89 6.58
"5" 8.16 2.9 6.71 4.38 7.19 2.73 6.69 3.13 4.28 6.61 5.04 6.68 2.21 7.61 6.61 3.75 4.36 8.15 2.94 4.12 5.82 4.27 7.62 6.54 8.04 5.91 3.05 2.82 6.48 5.54 1.78 3.86 8.74 3.69 7.05 1.77 0.47 7.01 5.26 4.77 3.59 5.42 1.05
"6" 5.56 4.77 4.8 4.13 8.47 6.47 6.62 6.73 5.15 5.14 1.16 7.6 3 6.8 7.59 3.86 7.76 -0.1 6.83 6.12 2.78 5.75 6.95 7.73 6.2 2.84 7.61 9.38 4.19 4.15 2.99 8.2 3.09 4.57 6.85 3.09 4.58 5.15 6.02 6.08 4.33 5.29 5.64
"7" 2.65 5.05 4.06 3.56 4.87 5.95 4.46 4.83 4.77 4.55 7.51 3.67 4.26 2.24 3.67 1.29 4.89 7.71 3.14 3.74 8.06 4.09 4.66 4.93 3.38 4.25 3.34 8.56 6.44 3.04 3.56 5.61 5.61 6.21 6.11 1.43 5.51 6.31 6.18 4.69 5.98 4.45 5.85
"8" 5.41 5.2 6.81 4.02 4.68 5.57 3.95 3.4 4.4 4.44 2.93 2.6 0.56 4.53 7.25 5.86 7.81 3.31 3.41 7.55 3.49 5.01 5.55 7.93 6.3 6.69 6.09 5.49 5.98 6.43 3.44 3.39 3.57 6.49 6.04 5.65 3.6 5.91 8.15 9.19 4.67 4.43 4.22
"9" 3.45 6.73 5.52 4.92 5.02 4.69 3.93 1.28 11 5.21 4.2 5.37 8.49 3.95 8.8 5.9 9.47 -1.17 2.73 4.97 1.7 4.31 4.15 5.86 2.51 4.15 8.32 1.72 -1.21 3.49 6.11 4.91 4.93 4.66 5.52 6.51 8.98 6.68 7.12 5.18 4.09 4.1 5.9
"10" 7.35 0.98 3.17 8.44 2.19 0.77 5.32 4.69 6.1 4.67 4.49 6.44 4.08 8.46 5.68 2.45 1.85 6.21 8.93 8.48 6.96 4.88 3.32 3.72 4.78 5.49 6.97 6.7 6.36 6.75 4.4 4.67 5.58 4.43 4.72 2.04 5.25 4.25 5.29 6.42 6.63 5.38 2.6
