"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74"
"1" 4.41 5.28 4.53 6.62 7.94 10.21 8.44 2.83 3.23 3.37 5.67 2.23 -0.74 5.07 4.81 3.4 3.71 3.92 5.1 3.77 5.26 3.74 4.75 4.59 4.51 3.23 6.85 4.73 2.9 3.88 5.25 6.11 4.85 6.82 4.92 3.2 2.5 4.49 6.84 7.01 7.86 5.7 6.62 2.88 2.18 4.94 1.49 4.49 3.39 4.19 2.45 3.59 3.33 5.52 8.4 3.51 4.89 4.96 6.57 6.67 5.36 4.7 4.77 4.49 3.83 5.08 5.47 5.63 6.51 7.81 5.92 6.24 2.75 7.85
"2" 6.55 7.36 6.2 5.79 7.36 2.39 4.62 4.03 3.09 5.24 3.17 7.53 4.59 3.52 5.56 2.4 2.35 1.46 2.49 3.33 4.04 7.03 4.13 6.07 4.45 3.41 3.02 2.17 6.12 5.37 5.84 4.25 4.14 7.87 4.1 5.31 5.08 3.28 7.21 4.91 3.69 6.47 2.19 3.83 3.87 5.91 4.93 4.88 4.87 3.92 0.81 3.53 4.01 5.08 5.69 2.36 8.77 4.48 6.29 5.45 4.98 6.99 4.26 8.41 6.42 5.11 7.09 5.49 2.22 3.2 4.87 2.65 7.3 8.44
"3" 4.86 2.83 8.03 5.4 3.43 3.62 2.49 3.79 5.9 7.82 4.43 6.2 3.82 5.42 4.54 4.83 2 7.88 6 7.48 3.22 2.43 4.04 4.07 3.47 6.92 6.1 6.07 5.22 2.5 2.38 6.89 6.58 3.84 2.59 4.21 6.02 0.65 5.31 6.56 4.44 4.23 2.99 5.05 6.84 3.72 2.41 3.37 6.73 5.87 4.62 1.87 5.92 9.12 7.77 8.6 4.47 3.52 2.95 4.82 5.83 4.55 3.95 6.03 3.09 6.71 4.56 4.66 5.49 5.92 6.28 7.18 3.56 5.32
"4" 5.62 3.86 2.26 6.57 4.27 5.3 5.2 5.48 7.13 4.95 3.35 6.02 3.17 5.49 7.2 3.69 9.21 5.89 4.52 4.36 3.76 4.88 5.45 5.35 4.15 5.09 3.19 6.06 0.99 6.17 6.37 6.07 3.52 6.97 3.67 5.14 5.62 9.69 4.11 5.44 5.31 8.56 4.14 3.58 4.63 2.28 6.91 0.94 7.54 8.14 7.35 7.14 5.2 5.62 3.22 2.49 -0.83 -0.64 5.16 5.55 4.18 3.58 2.79 6.27 5.5 3.76 2.68 4.88 4.84 6.43 6.71 4.49 1.09 6.72
"5" 8.58 3.77 7.26 4.9 6.78 1.8 3.51 5.36 5.27 8.21 2.03 4.33 2.56 6.36 6.25 5.14 1.8 6.27 5.43 4.63 3.98 5.68 7.5 5.52 4.34 6.54 2.92 5.46 5.34 6.09 4.62 4.8 9.42 4.83 7.41 7.17 4.46 3.48 3.24 4.55 6.84 4.81 4.34 3.25 3.48 4.25 5.94 2.91 8.2 7.11 5.99 4.93 4.95 4.55 6.55 8.52 7.99 2 5.23 3.08 5.14 2.66 1.05 3.28 1.67 3.77 8.91 8.76 1.55 6.23 5.15 3.43 6.05 5.21
"6" 3.35 5.27 2.53 2.03 6.08 6.26 7.89 4.45 3.24 4.3 3.27 1.29 3.49 7.52 6.92 4.13 3.34 3.89 6.15 6.53 6.87 6.27 5.66 2.45 5.56 3.18 1.32 4.61 5.67 3.63 7.75 6.22 4.01 0.21 -0.23 5.27 8.93 4.02 8.59 3.5 5.39 3.05 4.91 4.5 4.77 3.07 3.22 2.4 7.03 3.89 4.56 1.28 7.42 3.6 5.41 5.2 7 6.61 4.55 3.49 8.93 6.77 6.15 7.05 5.35 4.49 3.33 0.72 5.48 -0.11 5.89 6.53 1.63 7.6
"7" 2.81 7.2 3.35 2.96 3.1 7.58 5.68 3.49 6.09 7.91 1.68 5.29 2.82 7.39 1.2 6.37 5.57 8.1 6.27 9.68 8.48 6.57 2.93 8.06 5.6 4.76 1.87 3.43 5.04 5.45 5.36 4.25 7.66 1.35 3.26 6.69 7.28 5.92 8.24 4.1 6.46 4.5 4.24 3.54 5.89 6.13 4.57 4.17 5.53 7.71 5.85 5.95 7.77 3.93 6.44 7.63 2.85 5.58 3.46 2.23 5.71 4.93 4.92 6.46 2.43 4.75 1.16 7.35 5.97 4.78 3.68 6.65 2.16 3.62
"8" 5.49 3.07 6.57 7.04 3.55 2.84 4.16 2.92 7.06 4.95 4.56 8.13 3.62 4.26 3.63 2.49 6.67 3.51 4.57 9.37 1.11 3.48 4.83 0.9 5.64 3.13 6.77 2.35 6.46 6.21 5.17 3.15 4.55 6.15 5.91 3.97 3.54 7.99 5.78 6.66 3.81 5.52 3 5.58 6.44 5.14 3.92 3.55 4.04 4.17 4.51 3.37 3.72 0.82 4.35 5.7 3.24 5.55 7.05 4.12 5.48 4.23 8.1 3.83 5.48 7.13 3.18 4.92 6.98 6.67 3.61 4.65 5.57 5.94
"9" 3.47 3.44 7.15 7.83 8.57 4.3 5.35 4.09 7.6 5.57 7.85 3.75 2.12 5.6 1.39 3.7 5.93 1.34 6.65 9.51 6.15 4.53 4.54 6.94 4.34 6.5 5.35 5.9 4.07 5.48 3.74 5.39 3.62 4.34 8.58 2.82 6.29 2.45 2.5 7.2 7.09 8.5 5.29 3.62 5.56 4.41 3.82 4.73 4.97 4.54 6.69 5.2 3.41 2.15 9.08 4.55 5.44 3.98 7.45 2.55 4.52 4.12 3.07 7.8 4.73 5.65 5.26 2.43 2.83 3.62 6.45 6.75 5.96 6.68
"10" 4.72 5.53 9.94 1.97 8.15 3.76 4.46 7.91 7.17 5.88 5.84 5.6 1.26 5.78 4.39 5.48 6.53 5.92 6.99 3.48 5.61 -0.23 6.17 9.17 2.71 9.12 1.6 2.7 4.92 3.72 4.06 5.19 3.1 5.3 6.92 8.09 4.92 3.38 5.58 9.24 8.71 5.29 5.13 6.76 4.55 4.07 4.68 3.32 5.02 6.57 5.27 7.36 3.78 7.44 9.2 4.23 6.19 4.55 6.43 3.8 5.88 2.82 0.83 4.54 3.28 8.32 7.31 8.75 6.74 5.87 6.3 4.51 4.58 5.48
