"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24"
"1" 7.42 6.22 5.44 4.27 3.29 6.8 5.81 6.06 9.07 5.8 5.12 6.71 4.47 5.21 7.22 2.87 6.52 4.57 6.93 3.96 6.35 9.43 4.25 9.24
"2" 7.7 4.05 2.52 9.22 1.78 5.5 3.83 3.5 6.95 3.39 6.93 8.97 4.71 2.84 5.33 4.15 4.29 6.78 5.92 8.29 4.62 1.62 4.52 4.16
"3" 5.47 6.49 3.32 5.49 5.28 7.94 4.86 7.25 6.36 5.04 6.65 3.88 2.07 4.03 5.89 6.42 8.01 6.19 4.93 9.56 4.16 5.69 4.39 5.39
"4" 7.78 5.48 4.31 6.42 4.78 5.33 5.98 7.19 4.76 6.37 4.73 7.35 2.75 7.63 6.64 2.7 5.43 4.3 2.23 7.29 5.33 6.41 9.74 3.12
"5" 3.38 3.27 4.52 4.32 5.25 3.72 6.72 4.93 5.72 2.6 7.66 5.56 4.03 3.14 7.62 4.17 9.95 7.04 5.69 3.63 8.7 7.43 5.58 5.08
"6" 6.1 4.36 5.35 3.64 3.19 4.95 9.25 2.65 1.81 5.39 5.1 8.23 8.23 5.78 7.79 6.34 7.16 2.48 7.46 4.86 4.9 2.65 5.64 5.08
"7" 7.45 0.68 5.22 4.68 2.22 3.87 2.38 3.06 8.18 6.38 1.59 4.08 4.01 6.32 6.31 4.94 4.31 3.56 5.64 7.45 5.64 4.68 4.81 3.22
"8" 4.96 4.31 5.13 5.83 1.01 7.46 6.97 5.54 2.79 7.87 5.09 6.73 6.54 5.81 4.97 3.47 7.67 7.87 5.81 8.37 1.18 6.21 6.36 0.69
"9" 4.85 3.8 5.98 6.12 4.91 4 5.37 5.76 7.01 5.61 6.77 2.34 5.94 5.95 5.35 6.38 7.54 6.23 3.35 4.22 0.9 3.44 2.14 3.58
"10" 5.74 5.3 6.12 7.72 5.68 6.03 2.6 1.82 4.44 4.25 4.3 6.04 4.07 4.07 3.18 2.1 4.04 3.45 2.1 8.52 8.97 5.77 4.91 3.71
"11" 5.04 3.62 4.5 6.71 2.51 2.95 5.05 5.29 6.27 4.45 3.86 5.76 5.36 3.4 4.71 4.2 4.34 1.69 5.71 3.13 6.79 8.09 7.8 2.9
"12" 2.21 6.82 3.71 6.69 3.81 6.41 4.8 5.15 6.51 6.22 1.75 2.84 4.43 5.07 5.93 -0.88 9.05 1.21 4.39 1.65 7.45 5.09 7.67 5.34
"13" 3.36 7.37 6.22 3.67 3.71 6.53 6 8.09 2.89 4.15 4.73 4.93 6.41 5.05 5.53 7.12 2.01 4.1 7.18 6.76 5.71 4.09 5.95 7.51
"14" 3.67 3.95 2.97 3.33 4.69 4.25 6 1.74 3.84 7.41 1.75 3.34 4.54 8.33 1.91 2.71 2.2 4.73 7.42 3.05 1.99 7.99 7.2 4.71
"15" 3.61 9.82 4.09 5.48 4.75 3.52 1.31 5.89 2.62 5.65 5.76 7.28 6.03 4.74 5.67 6.16 7.27 6.07 3.54 0.11 4.54 6.73 5.94 3.25
"16" 3.5 1.51 4.97 7.02 4.47 8.39 0.41 4.7 6.67 2.19 10.61 3.98 5.5 4.16 6.25 7.26 6.43 1.48 4.99 5.17 6.51 3.61 5.12 5.76
"17" 1.64 3.13 7.03 6.39 6.57 3.19 6.23 3.52 4.49 1.23 3.55 6.28 7.88 6.54 3.69 6.8 6.58 5.38 4.01 5.77 7.59 5.6 6.78 5.06
"18" 4.65 7.75 3.29 3.08 4.18 3.92 4.7 3.33 5.08 5.6 5.35 3.17 6.66 0.39 6.42 5.05 3.45 2.4 4.28 2.35 0.33 6.7 3.69 1.95
"19" 3.88 6.96 5 4.97 3 3.13 6.04 6.19 6.95 2.85 -0.15 3.92 4.65 4.63 7.38 6.12 6.89 5.72 8.05 10.12 6.82 8.05 3.72 4.65
"20" 5.85 7.53 5.67 6.38 5.88 5.86 5.72 6.63 4.14 8.02 2.51 6.39 5.79 5.79 4.4 4.28 2.55 7.79 6.12 7.44 4.08 4.92 8.6 5.1
"21" 8.81 5.92 2.86 4.45 2.19 3.34 5.16 6.26 6.79 5.76 5.38 0.45 5.58 7.3 6.24 9.91 5.6 4.17 5.2 6.84 3.6 6.22 7.04 3.33
"22" 4.4 5.02 4.23 6.25 4.69 5.5 8.5 7.71 6.48 9.48 1.15 3.29 3.43 5.06 2.6 3.56 7.65 2.15 3.25 6.21 2.72 7.74 5.3 5.41
