"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33"
"1" 8.3 5.41 3.42 7.24 5.98 5.31 5.01 4.86 5.46 6.37 3.8 2.19 6.49 5.9 8.41 3.78 3.42 3.12 6.87 9.65 6.24 6.04 8.25 3.84 5.79 2.64 3.62 3.99 5.35 6.34 5.19 4.86 2.35
"2" 6.5 3.21 3.86 5.09 7.34 6.42 6.41 4.05 2.4 4.29 5.88 0.9 3.73 4.9 5.62 4.65 3.91 1.33 6.56 2.05 8.57 7.1 4.93 5.99 3.66 6.63 6.46 3.54 7.17 7.7 4.66 6.89 6.56
"3" 7.39 3.94 2.35 5.44 4.81 2.04 6.4 6.15 7.01 4.42 3.67 2.67 6.27 8.3 3.32 4.9 5.56 6.88 6.92 4.15 2.75 4.79 5.81 6.07 2.3 4.08 5.21 4.48 4.23 8.4 1.92 5.09 3.42
"4" 6.24 3.03 5.48 6.91 3.94 4.2 5.24 4.88 5.82 6.9 6.25 5.79 7.79 8.58 8.35 5.58 7.06 5.65 2.83 5.85 3.97 7.77 3.84 3.39 3.25 7.21 3.44 5.02 4.64 4.79 7.99 8.64 7.43
"5" 7.18 7.77 6.44 4.69 4.36 5.32 5.44 4.75 0.75 6.12 3.25 4.25 4 8.8 3.54 4.04 8.96 6.18 0.98 5.68 5.19 3.84 5 6.1 3.95 1.17 5.07 4.98 6.59 7.07 8.1 1.49 5.11
"6" 4.5 6.57 1.32 9 7.56 6.11 5.96 3.95 5.18 3.82 4.08 6.19 7.38 0.53 5.57 5.38 5.22 8.31 1.88 3.97 6.9 6.63 5.97 6.13 7.29 4.62 6.33 5.05 3.66 5.6 2.9 5.4 4.06
"7" 8.71 4.05 4.9 7.85 1.82 3.47 2.95 5.02 4.09 1.99 3.54 3.83 3.72 6.15 6.13 1.91 5.09 7.17 4.18 4.16 7.2 2.45 4.5 3.77 4.88 3.11 3.55 7.34 10.03 1.91 2.91 7.38 4.43
"8" 6.06 4.01 5.33 5.57 5.55 4.98 5.69 1.21 1.04 5.55 7.09 5.18 1.36 4.2 5.28 7.14 6.15 4.57 7.1 5.13 8.3 2.67 4.74 5 5.8 5.67 2.92 3.48 4.17 4.87 2.55 6.44 6.44
"9" 3.66 2.3 5.6 2.69 7.64 2.44 2.72 4.43 7.01 4.53 5.46 8.24 2.8 0.69 4.6 2.2 3.7 4 1.94 6.1 6.05 3.95 3.93 5.77 5.03 7.53 5.34 4.37 6.96 6.49 4.44 5.7 3.19
"10" 5.43 3.14 6.81 4.21 8 8.05 6.73 4.26 6.14 2.62 7.26 5.4 4.27 0.83 6.8 4.99 3.88 3.46 2.61 3.48 7.01 4.42 8.42 7.62 2.34 4.82 7.54 6.53 6.39 6.92 2.75 8.98 3.7
